,Unnamed: 0,job_title,skill,job_desc,Industry,Function,Role,Education,job_desc_clean
1,62,Software Engineer/ Data Engineer – Permanent Position,"Phython
Scala
Matlab
Excel
HTML
CSS","Software Engineer/ Data Engineer – Permanent Position
Requirements:
Degree in Information Technology, Computer Science, Biotechnology, Science or equivalent.
At least 5 years of research experience in the field of computer science, Data Preparation, Mathematical modelling and Simulation, Data Analytics and Optimization.
Knowledge of machine learning and data mining techniques in one or more areas of statistical modeling methods, time series, natural language, image/video text mining, optimization, information retrieval.
Proficient in Python, Excel, Scala, R, Matlab.
Proficient in Data science algorithms and strong understanding of the field.
Have experience in web development (HTML, CSS, JS).
Familarity with Linux.
Able to work independently in develop & operate the app in Hadoop environment.
Familiar with Spark, HBase, Hive, Hadoop and Big Data related technologies.
Experience in RHEL Linux, RDBMS and SQL is essential.
Experience in Cloud computing technologies (Azure/AWS).
Knowledge of Windows Server 2008 & 2012 and C# is an added advantage.
Good understanding of building a scalable system.
Practical, hands-on experience with data platforms and tool.
Strong critical thinking, problem-solving, programming skills and computer science knowledge.
Interested applicants please send your updated resume to
feroz@shellinfotech.com
Please mention you’re present and expected salary, and availability.",IT/ Computers - Software,IT,"•
Software Engineer/ Programmer
•
Database Architect
•
Other Information Technology","Bachelors
Degree
Masters
Post Graduate","Software Engineer/ Data Engineer – Permanent Position Requirements: Degree Information Technology, Computer Science, Biotechnology, Science equivalent. At least 5 years research experience field computer science, Data Preparation, Mathematical modelling Simulation, Data Analytics Optimization. Knowledge machine learning data mining techniques one areas statistical modeling methods, time series, natural language, image/video text mining, optimization, information retrieval. Proficient Python, Excel, Scala, R, Matlab. Proficient Data science algorithms strong understanding field. Have experience web development (HTML, CSS, JS). Familarity Linux. Able work independently develop & operate app Hadoop environment. Familiar Spark, HBase, Hive, Hadoop Big Data related technologies. Experience RHEL Linux, RDBMS SQL essential. Experience Cloud computing technologies (Azure/AWS). Knowledge Windows Server 2008 & 2012 C# added advantage. Good understanding building scalable system. Practical, hands-on experience data platforms tool. Strong critical thinking, problem-solving, programming skills computer science knowledge. Interested applicants please send updated resume feroz@shellinfotech.com Please mention you’re present expected salary, availability."
2,116,"Senior Software Engineer, Singapore",.net java salesforce software engineer,"Senior Software Engineers deliver high-quality functional applications and websites that satisfy the business needs and requirements of our clients. You will actively participate in the software development lifecycle, debug applications, and configure existing systems. We like people who love to code and have a history of building their own programs or applications. You should actively research creative solutions to problems.
Responsibilities
•	Develop and deploy fully functional applications based on business and technical specifications
•	Analyze overall development work and plan out tasks for maximum efficiency while reducing risk
•	Write clean, testable code including unit tests.
•	Debug applications and websites
•	Oversee your team’s technical deliverables, reviewing their code and coaching them to improve their skills
•	Work with multiple client partner teams to implement cohesive end-to-end experiences
•	Document development and operational procedures
Requirements
•	Degree in Computer Science, Engineering or equivalent
•	5+ years of professional software development experience
•	Demonstrable ability to build an end-to-end solution using enterprise technologies (E.g. .NET, Java, Salesforce, etc.)
•	Experience creating enterprise-level applications
•	Familiarity with agile environments
•	Excellent troubleshooting and problem-solving skills
•	Good communication skills
Kindly indicate your last drawn salary and notice period.",(Candidates authorized to work in the above mention countries are also eligible to apply),IT/ Computers - Software,IT,Software Engineer/ Programmer,"Senior Software Engineers deliver high-quality functional applications websites satisfy business needs requirements clients. You actively participate software development lifecycle, debug applications, configure existing systems. We like people love code history building programs applications. You actively research creative solutions problems. Responsibilities • Develop deploy fully functional applications based business technical specifications • Analyze overall development work plan tasks maximum efficiency reducing risk • Write clean, testable code including unit tests. • Debug applications websites • Oversee team’s technical deliverables, reviewing code coaching improve skills • Work multiple client partner teams implement cohesive end-to-end experiences • Document development operational procedures Requirements • Degree Computer Science, Engineering equivalent • 5+ years professional software development experience • Demonstrable ability build end-to-end solution using enterprise technologies (E.g. .NET, Java, Salesforce, etc.) • Experience creating enterprise-level applications • Familiarity agile environments • Excellent troubleshooting problem-solving skills • Good communication skills Kindly indicate last drawn salary notice period."
6,216,Software Engineer - Biometrics | Devops,,"Job Description :
Main missions
The Innovation Labs team is responsible for exploring new technology areas and related opportunities, proposing new ideas and translating new ideas all the way to production.
In this role the Software Engineer will be working within Biometrics and Machine learning area and is responsible for proposing, prototyping proof of concept (POC) of new ideas and implementation of overall solution in line with the best practices so that the POC prototypes can be productized easily.
The position is also responsible for the deployment and maintenance of a cloud-based solution. The role requires the candidate to work with different cloud platforms such as AWS, GCP or Azure.
The Software Engineer must be able to work with an agile team located at different geographical location. Given the deep knowledge requirements, we are looking for candidates with experience in a commercial projects.
Qualifications
Education: Masters Degree Computer Science or equivalent
Experience Level: 5+ years experience
Requirements
Competencies
Strong proficiency in C/C++/Java development and Python/ Groovy scripting
Strong in Image Processing and Analytical skills for Facial Liveness Detection
Experienced with Machine learning in general and Deep Learning in specific
Good working knowledge of tools such as Git/Mercurial, and Jenkins/Hudson
UNIX/shell scripting, Linux administration
Experience with cloud-based platforms such as GCP, Azure and AWS will be a plus
Experience with agile methodology is preferred
Good communication skills and fluent in English
Other
Team player
Comfortable to work in multi-cultural work environment
Comfortable to work with parties across multiple geographical sites
Exhibits strong leadership qualities, decision making/problem solving skills
Dependable and able to take initiatives",Recruitment/Staffing/RPO,IT,Software Engineer/ Programmer,,"Job Description : Main missions The Innovation Labs team responsible exploring new technology areas related opportunities, proposing new ideas translating new ideas way production. In role Software Engineer working within Biometrics Machine learning area responsible proposing, prototyping proof concept (POC) new ideas implementation overall solution line best practices POC prototypes productized easily. The position also responsible deployment maintenance cloud-based solution. The role requires candidate work different cloud platforms AWS, GCP Azure. The Software Engineer must able work agile team located different geographical location. Given deep knowledge requirements, looking candidates experience commercial projects. Qualifications Education: Masters Degree Computer Science equivalent Experience Level: 5+ years experience Requirements Competencies Strong proficiency C/C++/Java development Python/ Groovy scripting Strong Image Processing Analytical skills Facial Liveness Detection Experienced Machine learning general Deep Learning specific Good working knowledge tools Git/Mercurial, Jenkins/Hudson UNIX/shell scripting, Linux administration Experience cloud-based platforms GCP, Azure AWS plus Experience agile methodology preferred Good communication skills fluent English Other Team player Comfortable work multi-cultural work environment Comfortable work parties across multiple geographical sites Exhibits strong leadership qualities, decision making/problem solving skills Dependable able take initiatives"
7,246,Software Engineer,"Cyber security
Software Development
SDLC
Software Developer
Software engineer
C#
UNIX
.NET
Asp.Net","Please note: Due to the security nature of the client, interested applicants must be Singaporean or PR.
Only shortlisted candidates will be notified
About Our Client
They are a specialist Cyber Security Product company with an R&D division formed by a talented group of cyber security experts, who are responsible for delivering cutting-edge projects using innovative active defense methods.
About the Software Engineer
Working alongside the research team, you will be responsible for developing PoC and transforming research into security products.
Duties will include Software Development, technical design reviews, integration, testing and documentation.
Experience Required:
Pr
oficient in a high level programming / scripting language (Java, .Net, C++, python, bash)
Full stack developer from Database to Presentation layer.
Complete SDLC.
Experience with the following domains, industries or technologies will be an added advantage:
Experience in a Research or Product Development Environment
A keen knowledge and interest in Cyber Security, with an understanding of the threat landscape (e.g. MitM, Ransomware), attack vectors and active defence
Experienced in Software Security Reviews and Vulnerability Assessment
Ability to multi-task, as you will be engaged on various projects simultaneously
Relevant Security Certifications would be desirable
Understanding of the Network layer concepts.
If you are interested to learn more about the above job role or any other job opportunities, please apply to this job advertisement or alternatively contact the following consultant:
Daryl Thong
+65 6589 8787
daryl@searchelect.com
SearchElect Pte. Ltd. adheres to the Singapore Ministry of Manpower Tripartite guidelines on Non-Discriminatory Job Advertisements which you can find more information about HERE. If you feel any part of this job advertisement is discriminatory please immediately raise to our attention via marketing@searchelect.com. We take these matters seriously and thank you for your cooperation.",IT/ Computers - Software,IT,Software Engineer/ Programmer,"Bachelors
Degree
Diploma
Non Degree Tertiary
ITC
NTC
Vocational
Masters
Post Graduate
PhD
Doctorate","Please note: Due security nature client, interested applicants must Singaporean PR. Only shortlisted candidates notified About Our Client They specialist Cyber Security Product company R&D division formed talented group cyber security experts, responsible delivering cutting-edge projects using innovative active defense methods. About Software Engineer Working alongside research team, responsible developing PoC transforming research security products. Duties include Software Development, technical design reviews, integration, testing documentation. Experience Required: Pr oficient high level programming / scripting language (Java, .Net, C++, python, bash) Full stack developer Database Presentation layer. Complete SDLC. Experience following domains, industries technologies added advantage: Experience Research Product Development Environment A keen knowledge interest Cyber Security, understanding threat landscape (e.g. MitM, Ransomware), attack vectors active defence Experienced Software Security Reviews Vulnerability Assessment Ability multi-task, engaged various projects simultaneously Relevant Security Certifications would desirable Understanding Network layer concepts. If interested learn job role job opportunities, please apply job advertisement alternatively contact following consultant: Daryl Thong +65 6589 8787 daryl@searchelect.com SearchElect Pte. Ltd. adheres Singapore Ministry Manpower Tripartite guidelines Non-Discriminatory Job Advertisements find information HERE. If feel part job advertisement discriminatory please immediately raise attention via marketing@searchelect.com. We take matters seriously thank cooperation."
8,248,Software Engineer,"C#
C++
Asp.Net
UNIX
SDLC
Agile Methodology
Waterfall
Devops
Software development","Please note: Interested Applicants must be Singaporean or PR.
About Our Client
Our client is a specialist Cyber Security Product company with an R&D division formed by a talented group of cyber security experts, who are responsible for delivering cutting-edge projects using innovative active defense methods.
About the Software Engineer
Working alongside the research team, you will be responsible for developing PoC and transforming research into security products.
Duties will include Software Development, technical design reviews, integration, testing and documentation, in addition to acting as a technical advisor to the research department
Experience Required:
Proficient in a high level programming / scripting language (Java, .Net, C++, python, bash)
Full stack developer from Database to Presentation layer.
Complete SDLC.
Experience in a Research or Product Development Environment
Ability to multi-task, as you will be engaged on various projects simultaneously
If you are interested to learn more about the above job role or any other job opportunities, please apply to this job advertisement or alternatively contact the following consultant:
Daryl Thong
+65 6589 8787
Recruitment Consultant
daryl@searchelect.com
SearchElect Pte. Ltd. adheres to the Singapore Ministry of Manpower Tripartite guidelines on Non-Discriminatory Job Advertisements which you can find more information about HERE.  If you feel any part of this job advertisement is discriminatory please immediately raise to our attention via marketing@searchelect.com.  We take these matters seriously and thank you for your cooperation.",IT/ Computers - Software,IT,Software Engineer/ Programmer,"Bachelors
Degree
Diploma
Non Degree Tertiary
Masters
Post Graduate
PhD
Doctorate","Please note: Interested Applicants must Singaporean PR. About Our Client Our client specialist Cyber Security Product company R&D division formed talented group cyber security experts, responsible delivering cutting-edge projects using innovative active defense methods. About Software Engineer Working alongside research team, responsible developing PoC transforming research security products. Duties include Software Development, technical design reviews, integration, testing documentation, addition acting technical advisor research department Experience Required: Proficient high level programming / scripting language (Java, .Net, C++, python, bash) Full stack developer Database Presentation layer. Complete SDLC. Experience Research Product Development Environment Ability multi-task, engaged various projects simultaneously If interested learn job role job opportunities, please apply job advertisement alternatively contact following consultant: Daryl Thong +65 6589 8787 Recruitment Consultant daryl@searchelect.com SearchElect Pte. Ltd. adheres Singapore Ministry Manpower Tripartite guidelines Non-Discriminatory Job Advertisements find information HERE. If feel part job advertisement discriminatory please immediately raise attention via marketing@searchelect.com. We take matters seriously thank cooperation."
11,367,.NET Software Engineer (Web Applications),"Server
HTML
CSS
PowerShell
C#
windows
SQL
API
software development life cycle
JavaScript
SQL Server",".NET Software Engineer (Web Applications) – 12-Month Contract – Singapore
The ideal fit will –
Design, develop and test custom built full stack applications.
Participate & provide the relevant support in the entire software development life cycle.
Provide continuous post-implementation support and enhancement based on business needs.
Ensure that technical design, development and deployment are carried out according to Development Standards, Procedures and Security Policies.
Responsibilities
Software development on .Net platform
Transformation project participation
Contribute in Development aspect
Technical Must-Haves
More than 60% of your portfolio are build-from-scratch projects
More than 3 years of experience in .Net platform
C#, .Net framework, windows application development, SQL Server
WCF, Web API, HTML, CSS, JavaScript
Big Plus
Enterprise-level software development experience
WPF, SSRS, SSIS, Angular, CI/CD, PowerShell, mobile applications
Agile, Scrum, TDD
Please send your resume in WORD format by clicking the apply button below or contact Rosette Chong at +65 6701 1513 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1658433 (Chong Xinmei).",Recruitment/Staffing/RPO,IT,Software Engineer/ Programmer,,".NET Software Engineer (Web Applications) – 12-Month Contract – Singapore The ideal fit – Design, develop test custom built full stack applications. Participate & provide relevant support entire software development life cycle. Provide continuous post-implementation support enhancement based business needs. Ensure technical design, development deployment carried according Development Standards, Procedures Security Policies. Responsibilities Software development .Net platform Transformation project participation Contribute Development aspect Technical Must-Haves More 60% portfolio build-from-scratch projects More 3 years experience .Net platform C#, .Net framework, windows application development, SQL Server WCF, Web API, HTML, CSS, JavaScript Big Plus Enterprise-level software development experience WPF, SSRS, SSIS, Angular, CI/CD, PowerShell, mobile applications Agile, Scrum, TDD Please send resume WORD format clicking apply button contact Rosette Chong +65 6701 1513 confidential discussion. Please note short-listed candidates contacted. CEI Reg. Number R1658433 (Chong Xinmei)."
12,381,Senior Java Software Engineer,"scripting
HTML
CSS
SQL
J2EE
Spring
API
authentication
JQuery
Python
Bash
Software
Android
JavaScript
Java","Senior Software Engineer (Java) – 2-year contract - Singapore
Be part of a major transformation project.
This transformation is to expand organization’s technology into Java. The ideal fit will have experience as a Full-Stack Developer. Experience in building Java microservices and frontend using Angular, JavaScript, JQuery, HTML and CSS.
It will be advantageous if you have knowledge or experience in test-driven development, CI/CD, deploying Docker containers and operating on Kubernetes. In other words, practicing Devops methodology.
Must-haves:
3 years or more experience on Java platform
Familiar with agile software engineering practice
Java programming, J2EE, Spring, Web API, Angular, HTML, CSS, JavaScript, SQL
Increase your chances with:
Experience working on enterprise-scale projects, or, fully participated in projects from scratch
Scrum, TDD
Docker, Kubernetes, MQ, CI/CD, Bash/Python scripting, iOS/Android mobile app, cloud technologies, authentication, security.
Please send your resume in WORD format by clicking the apply button below or contact Rosette Chong at +65 6701 1513 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1658433 (Chong Xinmei).",Recruitment/Staffing/RPO,IT,Software Engineer/ Programmer,,"Senior Software Engineer (Java) – 2-year contract - Singapore Be part major transformation project. This transformation expand organization’s technology Java. The ideal fit experience Full-Stack Developer. Experience building Java microservices frontend using Angular, JavaScript, JQuery, HTML CSS. It advantageous knowledge experience test-driven development, CI/CD, deploying Docker containers operating Kubernetes. In words, practicing Devops methodology. Must-haves: 3 years experience Java platform Familiar agile software engineering practice Java programming, J2EE, Spring, Web API, Angular, HTML, CSS, JavaScript, SQL Increase chances with: Experience working enterprise-scale projects, or, fully participated projects scratch Scrum, TDD Docker, Kubernetes, MQ, CI/CD, Bash/Python scripting, iOS/Android mobile app, cloud technologies, authentication, security. Please send resume WORD format clicking apply button contact Rosette Chong +65 6701 1513 confidential discussion. Please note short-listed candidates contacted. CEI Reg. Number R1658433 (Chong Xinmei)."
15,623,Software Engineer 1 Year Contract (Electronics Industry) @ Jurong East,"IT-Administration
IT-Management
IT-Software/Development
Troubleshoot
Diploma
Bachelor's / Honours
Masters / PhD","Job Description
Software Engineer 1 year contract @ Jurong East
1 year contract
Mon-Fri: 8:30am-6:00pm
Jurong East
Job Responsibilities
To participate in developing high availability, scalable smart nation / Internet of Things (IoT) platform products
To perform efficient, maintainable, reliable software design, coding, unit testing and integration
To deliver software products with a high level of quality and customer satisfaction
To evaluate / apply state-of-the-art technologies, tools, programming techniques, and computing equipment
Working Hours
Mon-Fri: 8:30am-6:00pm
Location
Jurong East
Job Requirements
Degree in Computer Science, IT, Engineering or equivalent
Minimum 3~5 years of working experience in software development
Complete at least 1 full SDLC cycle in a sizable software system development project
Solid background in OOP and knowledge of software design patterns/ best practices and software development process is essential
Specialized in developing scalable enterprise and web based applications using Java/J2EE, Spring/Hibernate framework
Strong Hands-on experience with Frameworks like NodeJS, Html5, CSS3, JQuery, Bootstrap, AngularJS
Hands-on experience/knowledge on Data modelling, Database/XML interaction & No-SQL technologies like MongoDB, Cassandra
Experience in Micro Service Architecture implementation and web servers & application servers such as Apache, Nginix & Tomcat
Interested applicants, kindly email your detailed resume (MS Word format is preferred):
(Reg No: R1107386)
Zoey -(Reg No: R1550273)
Please ensure that applications sent through email are no bigger than 1Mb.
We thank all applicants for your interest but regret to inform that only shortlisted candidates would be notified.
Success Human Resource Centre Pte Ltd (EA License Number: 97C4832)
1 Sophia Road, Peace Centre,
#06-23/29 Singapore 228149
T: 6337 3183 | F: 6337 0329 | W: www.successhrc.com.sg",Recruitment/Staffing/RPO,IT,Software Engineer/ Programmer,,"Job Description Software Engineer 1 year contract @ Jurong East 1 year contract Mon-Fri: 8:30am-6:00pm Jurong East Job Responsibilities To participate developing high availability, scalable smart nation / Internet Things (IoT) platform products To perform efficient, maintainable, reliable software design, coding, unit testing integration To deliver software products high level quality customer satisfaction To evaluate / apply state-of-the-art technologies, tools, programming techniques, computing equipment Working Hours Mon-Fri: 8:30am-6:00pm Location Jurong East Job Requirements Degree Computer Science, IT, Engineering equivalent Minimum 3~5 years working experience software development Complete least 1 full SDLC cycle sizable software system development project Solid background OOP knowledge software design patterns/ best practices software development process essential Specialized developing scalable enterprise web based applications using Java/J2EE, Spring/Hibernate framework Strong Hands-on experience Frameworks like NodeJS, Html5, CSS3, JQuery, Bootstrap, AngularJS Hands-on experience/knowledge Data modelling, Database/XML interaction & No-SQL technologies like MongoDB, Cassandra Experience Micro Service Architecture implementation web servers & application servers Apache, Nginix & Tomcat Interested applicants, kindly email detailed resume (MS Word format preferred): (Reg No: R1107386) Zoey -(Reg No: R1550273) Please ensure applications sent email bigger 1Mb. We thank applicants interest regret inform shortlisted candidates would notified. Success Human Resource Centre Pte Ltd (EA License Number: 97C4832) 1 Sophia Road, Peace Centre, #06-23/29 Singapore 228149 T: 6337 3183 | F: 6337 0329 | W: www.successhrc.com.sg"
17,801,Software Engineer (iOS),,"Job Description :
**Our Client is a fast growing Product company in Singapore, who is seeking to recruit a Software Engineer (iOS) for their software product.
Software Engineer (iOS)
Responsibilities
Develop and improve our iOS apps with teammates and backend team
Collaborate closely with product and business team to deliver best experiences and features for user
Prototype new features and functionality to validate new concepts, technologies or user experiences
Learn and get better at what you do
Skill & Requirements
Enjoy programming and care about user experiences and software craftsmanship
Strong knowledge of Swift and Objective-C
Familiar with Git and git workflow
Good understanding of stack from UI to back-end, including web services and server-side integration through REST and JSON
Excellent analytical skills and proactive attitude.
Do not afraid to tackle the problem you have not encountered before
Participate in iOS application development at least one app lifecycle (from development to release)
Bachelors Degree in Computer Science or equivalent in the field of software engineering
(Proficient in C and C toolchain, for example, gcc, ld, Makefile, etc. is a plus)
(Github link or real code sample is a plus)
JJ Consulting Services
EA Licence No.: 12C6207
Experience:
ios Development: 2 years (Preferred)
Location:
Singapore (Preferred)",Recruitment/Staffing/RPO,IT,Software Engineer/ Programmer,,"Job Description : **Our Client fast growing Product company Singapore, seeking recruit Software Engineer (iOS) software product. Software Engineer (iOS) Responsibilities Develop improve iOS apps teammates backend team Collaborate closely product business team deliver best experiences features user Prototype new features functionality validate new concepts, technologies user experiences Learn get better Skill & Requirements Enjoy programming care user experiences software craftsmanship Strong knowledge Swift Objective-C Familiar Git git workflow Good understanding stack UI back-end, including web services server-side integration REST JSON Excellent analytical skills proactive attitude. Do afraid tackle problem encountered Participate iOS application development least one app lifecycle (from development release) Bachelors Degree Computer Science equivalent field software engineering (Proficient C C toolchain, example, gcc, ld, Makefile, etc. plus) (Github link real code sample plus) JJ Consulting Services EA Licence No.: 12C6207 Experience: ios Development: 2 years (Preferred) Location: Singapore (Preferred)"
18,816,Senior Software Engineer (iOS),,"Job Description :
**Our Client is a fast growing Product company in Singapore, who is seeking to recruit a Senior Software Engineer (iOS) for their software product.
Senior Software Engineer (iOS)
Responsibilities
Design and Develop and improve our iOS apps with teammates and backend team
Take responsibilities of user feature development from design to release
Collaborate closely with product and business team to deliver best experiences and features for user
Deal with complex and challenging technologies stack
Mentor junior software engineer and code review
Be responsible for the code quality in the team
Learn and get better at what you do
Skill & Requirements
Enjoy programming and care about user experiences and software craftsmanship
Strong knowledge of Swift, Objective-C and C (including C toolchain - gcc, ld, Makefile, etc.)
Strong knowledge of iOS platform and familiar with related projects (Cocoapods, Carthage, Alamofire, etc.)
Familiar with Git and git workflow
Good understanding of iOS app architecture and use of design patterns
Good understanding of stack from UI to back-end, including web services and server-side integration (Experience with messaging and voice/video call application development is a plus)
Excellent analytical skills and proactive attitude
Good communication skills
Participate in iOS application development at least a few app lifecycles (from development to release)
Bachelors Degree in Computer Science or equivalent in the field of software engineering
(Github link or real code sample is a plus)
JJ Consulting Services
EA Licence No.: 12C6207
Experience:
ios Development: 3 years (Preferred)",Recruitment/Staffing/RPO,IT,Software Engineer/ Programmer,,"Job Description : **Our Client fast growing Product company Singapore, seeking recruit Senior Software Engineer (iOS) software product. Senior Software Engineer (iOS) Responsibilities Design Develop improve iOS apps teammates backend team Take responsibilities user feature development design release Collaborate closely product business team deliver best experiences features user Deal complex challenging technologies stack Mentor junior software engineer code review Be responsible code quality team Learn get better Skill & Requirements Enjoy programming care user experiences software craftsmanship Strong knowledge Swift, Objective-C C (including C toolchain - gcc, ld, Makefile, etc.) Strong knowledge iOS platform familiar related projects (Cocoapods, Carthage, Alamofire, etc.) Familiar Git git workflow Good understanding iOS app architecture use design patterns Good understanding stack UI back-end, including web services server-side integration (Experience messaging voice/video call application development plus) Excellent analytical skills proactive attitude Good communication skills Participate iOS application development least app lifecycles (from development release) Bachelors Degree Computer Science equivalent field software engineering (Github link real code sample plus) JJ Consulting Services EA Licence No.: 12C6207 Experience: ios Development: 3 years (Preferred)"
