,Unnamed: 0.1,job_title,skill,Industry,Function,Role,Education,job_desc_clean
0,81,"SVP / VP, Data Scientist, Business Analytics, Consumer Banking Group","SVP / VP
Data Scientist
Business Analytics
Consumer Banking Group",IT/ Computers - Software,IT,System Analyst/ Tech Architect,,"Business Function As leading bank Asia, DBS Consumer Banking Group unique position help customers realise dreams ambitions. As market leader consumer banking business, DBS full spectrum products services, including deposits, investments, insurance, mortgages, credit cards personal loans, help customers realise dreams aspirations every life stage. Our financial solutions best business – made right you. About role The Regional Data Science team part Regional Business Analytics team Consumer Banking Group. Our responsibilities include building Data Science Solutions using advanced machine learning methods, recommendation engines, text mining solutions customer models increase business impact efficient customer management, well answer numerous business questions using statistical tools data analysis. Responsibilities Involve building cutting edge algorithms working state-of-art data science machine learning tools Spark, Tensor Flow mastery number analytic platforms like SAS, SQL, Python, R. etc. Work large scale datasets, distributed Big Data Platforms variety advanced analytics solutions across Bank ranging recommendation engines, Propensity models, customer segmentation, Graph models, pricing more. Work alongside BA Leadership, making regular presentation senior management including C-level executives within Consumer Bank Leadership across region Help team methodology guidance areas experiment design data analysis. Requirements Masters equivalent degree Statistics, Applied Mathematics, Operation Research, equivalent quantitative fields preferred. Strong mathematical statistics background. 6-10 years experience industry (ideally consumer banking, ecommerce, telecoms, retail) and/or academia demonstrated track record innovative research insight generation implementation insights tools/processes delivering front end business results At least 5 years data mining machine learning large amount data, building implementing various statistical models. Good understanding technology tools especially related analytics, data & statistical modelling. Programming experience SAS (Base, Stats, Macro, EG, EM), R, Python, Spark, Tensorflow statistical programing software. Familiarity Hadoop, Hive, Pig. Proficient using databases like Teradata, Oracle, SQL Server, Neo4J etc.. Knowledge internet marketing data collection metrics well familiarity digital analytics platforms like Google Adwords, Facebook Contextual marketing, Omniture/Adobe, Mediaplex, etc would helpful. Ability communicate complex analysis/models across diverse team. Good written oral communication skills Apply Now We offer competitive salary benefits package professional advantages dynamic environment supports development recognises achievements."
1,106,Business Analyst (Banking),"Business Analyst
Banking",Banking/ Financial Services,IT,"•
Software Engineer/ Programmer
•
Team Leader/ Technical Leader
•
Business Analyst","Bachelors
Degree"," Requirement gathering/testing experience, banking related  Strong team player ability work different groups stakeholders."
2,136,"Associate / Analyst, Business Banking Relationship Manager, Consumer Banking Group","Associate / Analyst
Business Banking Relationship Manager
Consumer Banking Group",Banking/ Financial Services,"Banking, Insurance & Financial Services",Loans Management,,"Business Function We deliver comprehensive suite innovative banking services financial solutions individuals, ranging man-in-the-street mass affluent. Providing sound wealth management financial advisory services, help customers make informed decisions money committed helping plan achieve life goals. Products services within Consumer Banking Group include loans, credit cards, investment unit trusts, insurance priority banking. Responsibilities Sales Performance: Achieve sales revenue customer acquisition targets established Bank Manage sales portfolio build strong relationships acquire new businesses achieve desired lending product targets Participate sales activities marketing-related events like agency networking sessions may required time time Assess customer loan requirements work sound loan schemes suit individual needs well business needs Compliance: Constantly upgrade develop new skills continual training, education observations Ensure sales processes conducted compliance internal external regulatory guidelines Ensure documentation complete order line guidelines Sales Related Service: Achieve high standard customer satisfaction service quality Ensure customer requests dealt timely consistent manner Handle walk-in customer queries, objections accurate information Minimise sales related errors write-offs Requirements Degree qualification 2-3 years sales experience either consumer banking enterprise banking Proven sales track record consumer enterprise banking space Knowledge competitors market place Ability network build rapport external stakeholders (corporations potential referral agents) Strong passion sales along good presentation interpersonal skills Strong analytical, problem-solving decision-making skills ability adapt changes Apply Now We offer competitive salary benefits package professional advantages dynamic environment supports development recognises achievements."
3,145,"ED/SVP, UX Designer – Digital Banking, Consumer Banking Group","ED/SVP
UX Designer – Digital Banking
Consumer Banking Group",Banking/ Financial Services,,Other Roles,,"Business Function As leading bank Asia, DBS Consumer Banking Group unique position help customers realise dreams ambitions. As market leader consumer banking business, DBS full spectrum products services, including deposits, investments, insurance, mortgages, credit cards personal loans, help customers realise dreams aspirations every life stage. Our financial solutions best business – made right you. Responsibilities Produce high fidelity design deliverables guide UX efforts Present well-articulated design decisions teams stakeholders Actively contribute UX community enable fertile creative environment Stay savvy industry UX trends, applying wherever necessary Brainstorm next big thing one moment still tweak pixels right launch Intuitively simplify complex workflows Communicate complex interaction concepts clearly persuasively Requirements 6+ years experience Interface Design, Interaction Design, Information Architecture An outstanding portfolio work samples A clean design aesthetic knowledge design engineering impact A thorough knowledge UX lifecycle Extensive experience designing web mobile applications using broad array tools like Visio, OmniGraffle, Adobe CS, Invision, Axure, etc Hands-on experience adaptive responsive techniques Working knowledge Web 2.0, CSS3, HTML5, mobile OS, etc A Bachelor’s Degree Human Factors Engineering, Design, HCI, equivalent project/portfolio experience Apply Now We offer competitive salary benefits package professional advantages dynamic environment supports development recognises achievements."
4,146,"Associate / Analyst, Corporate Action Processor, Institutional Banking Group Operations, Technolo...","Associate / Analyst
Corporate Action Processor
Institutional Banking Group Operations
Technolo...",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,,"Business Function Group Technology Operations (T&O) enables empowers bank efficient, nimble resilient infrastructure strategic focus productivity, quality & control, technology, people capability innovation. In Group T&O, manage majority Bank's operational processes inspire delight business partners multiple banking delivery channels. Job Purpose It exists ensure clients’ entitlements corporate action events protected. It expected meet exceed clients SLA requirements achieve high standard quality commitment specifying roles responsibility staff. Key Accountabilities Timeliness – ensure Corporate Announcements & processing done within 24 hours receipt announcements proceeds Accuracy – ensure least 95% accuracy Responsive – ensure clients queries responded within 24 hours receipt query provide interim reply follow response within 3 days Risk- ensure critical audit findings / issues escalate immediate time critical issues higher authorities. People – participate staff surveys, attend training nominated crossed trained areas work within section across sections order become well trained leave cover. Responsibilities Check ensure corporate action events processed correctly promptly. Ensure prompt notification clients voluntary corporate action events rights, dividend options, expiry warrants, redemption, etc. Check clients’ instructions executed accordingly. Ensure clients’ entitlements protected. Handle clients’ enquiries provide timely responses. Maintain high standard service quality. Requirements Degree discipline. Minimum 2-3yrs relevant experience Corp Action. Proficient MS Office application. Excellent interpersonal & communication skills. Team player work independently minimal supervision. Able thrive fast paced environment. Detailed meticulous. Apply Now We offer competitive salary benefits package professional advantages dynamic environment supports development recognises achievements."
5,155,"AVP / Senior Associate, Service Manager, Treasures Private Client, Consumer Banking Group","AVP / Senior Associate
Service Manager
Treasures Private Client
Consumer Banking Group",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,,"Business Function As leading bank Asia, DBS Consumer Banking Group unique position help customers realise dreams ambitions. As market leader consumer banking business, DBS full spectrum products services, including deposits, investments, insurance, mortgages, credit cards personal loans, help customers realise dreams aspirations every life stage. Our financial solutions best business – made right you. Responsibilities 1. Service Management Performance To attend client queries wealth management needs use relevant skills probe identify needs provide appropriate solutions clients To achieve service standards set TPC staff develop improve client satisfaction retention To ensure client instructions dealt timely consistent manner adhering regulatory, compliance internal security audit requirements To attend relevant training briefings To keep attuned current economic financial markets current proficient attending client’s queries 2. Customer Care To ensure results monthly service monitoring sessions customer satisfaction surveys: e.g. quality visits / mystery shopping adherence set standards 3. Service Improvement Programme Teamwork To participate Service & Process Improvement initiatives team-related activities Work closely relevant support units ensure customer’s instructions handled timely manner 4. Activities/Operations Attend follow-up client requests/issues daily. Ability interact employees & clients levels developed strong inter-departmental client relationship Referring business opportunities existing portfolio clients Relationship Managers To identify opportunities provide information updates investment products services offered Demonstrate clear support colleagues – training, guiding, mentoring motivating To conduct regular portfolio reviews clients Identify referral opportunities new account opening: e.g. Member-Get-Member support acquisition programs 5. Support Alignment Bank Strategic Focus Vision Aligned Bank’s key strategic focus demonstrate support fulfilment towards visions: i.e. Application daily interactions BAUs Receptive changes innovations able think box generate ideas contribute positive re-definition end end experiences clients internal stake holders alike Support innovation digital initiatives line business directives scorecard Requirements Minimum 4 years relevant working experience Sound knowledge banking products, services procedures Customer service oriented Good understanding financial, investment products & services including Equity Bond markets Strong knowledge compliance regulatory requirements exposure multi-cultural issues would added advantage Apply Now We offer competitive salary benefits package professional advantages dynamic environment supports development recognises achievements."
6,170,"VP / AVP, Financial Crime & Security Services (AML) Advisory - Private Banking, Group Compliance","VP / AVP
Financial Crime & Security Services (AML) Advisory - Private Banking
Group Compliance",Banking/ Financial Services,"Banking, Insurance & Financial Services",Compliance & Control,,"Business Function Group Legal, Compliance & Secretariat ensures bank's interests protected zealously guarding enhancing reputation capital. We also work maintain good standing regulators, customers, business partners. Because believe heart business banking uphold values trust integrity stakeholders. Responsibilities Ensure consistent interpretation implementation Group CDD standard across Business Units/Countries. Provide regional support CDD related matters. To assist implementing EWRA Framework. Review high AML risk cases provide appropriate advisory strategy. Participate digitalization projects, e.g. KYC related process improvements. To assist conducting NPA reviews. Conduct AML trainings. Prepare monthly AML key metrics reporting. Participate ad-hoc projects involving AML initiatives/improvements. To assist FCSS advisory areas – Fraud, ABC, Sanctions, etc. Requirements Bachelor Degree relevant field. Minimum 10 years AML experience. Good working knowledge Private Bank. Good understanding MAS Notices, Guidelines Regulations AML/CFT Sanctions. Effective communication written skills. Able work team work confidently Senior Management Apply Now We offer competitive salary benefits package professional advantages dynamic environment supports development recognises achievements."
7,178,"AVP, Technical Business Analyst (Loan Module), Group Consumer Banking and Big Data Analytics Tech...","AVP
Technical Business Analyst (Loan Module)
Group Consumer Banking and Big Data Analytics Tech...",IT/ Computers - Software,IT,Technical Writer,,"Business Function Group Technology Operations (T&O) enables empowers bank efficient, nimble resilient infrastructure strategic focus productivity, quality & control, technology, people capability innovation. In Group T&O, manage majority Bank's operational processes inspire delight business partners multiple banking delivery channels. Job Purpose The selected candidate required take role Technical Biz Analyst WMS, CASA and/or Loans. Key Accountabilities To point contact business initiatives. Take role Tech BA scum team. Work development, testing, production support and/or vendor teams functional requirements. Responsibilities The new hire support portfolio applications areas following key responsibilities: Main focal point Business Unit Development/Vendor teams initiatives - conceptualization implementation. Validate/Clarify user stories/requirements. Participate review system design. Work user, development production support team implementation activities. Requirements At least 6-8 years’ experience CASA, Loans and/or WMS business analyst. Possess excellent verbal written communication skills. Experience project management added advantage. Familiar Finacle, JBoss, Java, Apache Tomcat, Linux, Springboot, Springbatch, Spring-data, Angular JS UI. Familiar modern application design using micro-services use CI/CD tools GIT, JIRA. Have track record successful implementations using technologies. Previous hands-on experience coding using technologies would advantageous. Knowledge Agile methodologies. Apply Now We offer competitive salary benefits package professional advantages dynamic environment supports development recognises achievements."
8,301,"ED, Investment Counsellor, Private Banking, Consumer Banking Group","ED
Investment Counsellor
Private Banking
Consumer Banking Group",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,,"Business Function DBS’ Private Banking offers one-stop, full-service touch-point total banking requirements provides highest level personalised banking. We team dedicated, experienced investment advisors identify opportunities various asset classes employ best strategies product vehicles cater client’s needs. Coupled partnerships within DBS network global institutions, strive build long-term relationships Private Banking clients Asia providing high quality, timely extensive wealth management, investment financial solutions. Responsibilities Potentially lead team Investment Counsellors providing advisory investment services private banking clients; delivering profession high value add services High Net Worth Clients. Jointly develop maintain key client relationships Relationship Mangers via providing prompt market updates, portfolio investment advice facilitate quality execution services/offerings. Partner Relationship Managers review regular monitoring client portfolios via appropriate investment strategies/offerings. Actively service portfolio tagged clients revenue budgets jointly agreed relationship managers Ensure risk ratings products sold clients suited risk profiles Ensure audit trail maintain records clients communication & comply documentation requirements Perform regulated activities ensure full compliance policies, standards, guidelines & procedures laid Bank regulatory authorities Requirements Degree holder Finance, Business related discipline More 10 years portfolio management experience financial institutions Preferably experience building leading high performing teams Strong understanding financial investment markets Analytical mind sensitive financial market trends Apply Now We offer competitive salary benefits package professional advantages dynamic environment supports development recognises achievements."
9,319,"AVP / Senior Associate, Risk & Control Manager, Institutional Banking Group Technology, Technolog...","AVP / Senior Associate
Risk & Control Manager
Institutional Banking Group Technology
Technolog...",IT/ Computers - Software,IT,System Analyst/ Tech Architect,,"Business Function Group Technology Operations (T&O) enables empowers bank efficient, nimble resilient infrastructure strategic focus productivity, quality & control, technology, people capability innovation. In Group T&O, manage majority Bank's operational processes inspire delight business partners multiple banking delivery channels. Job Purpose Be part risk control team lead implement IBGT risk control preventive improvement initiatives Key Accountabilities Front internal external audits issues department ensure audit action items closed appropriately promptly Conduct risk assessment areas highlighted advise management mitigation control processes implemented To represent department group level working committees thematic issues affecting bank drive program departmental level closure gaps. Responsibilities Manage department’s process improvements quality programs participating research / advisory services, including capturing organizational metrics analysis; Perform data analysis procedure reviews ensure compliance; Track process improvements issues ensure timely closure; Work stakeholders, IT infrastructure auditors projects audit matters; Participate coordinate internal/external audit activities; Provide timely periodic update IBGT managements IBGT audit posture Provide technical expertise/consultation process improvement quality assurance project managers IT teams; Perform risk assessment identify mitigation controls risk areas identified Partner application managers ensure risk areas risk events properly effectively mitigated Communicate new policies standards relevant teams Requirements Minimum degree Computer Science, Engineering, Information Technology related discipline recognized University; At least 3 years working experience Financial / Banking IT industry; Familiar Applications Delivery Life Cycle, Project Management best practices IT Controls Experience IT audit CISA certified preferred; Experience operational risk management control self assessment Have eyes details; Ability facilitate workshops and/or focus groups; Proactive team player ability work independently equips excellent communication (both spoken written), presentation business writing skills English; Able manage stress multi-task fast-paced environment able work irregular working hours; Able collaborate within team, various levels stakeholders operating level senior management across locations Able effectively manage time prioritize tasks responsibilities Apply Now We offer competitive salary benefits package professional advantages dynamic environment supports development recognises achievements."
