,company,job_title,job_desc,Unnamed: 12
54,Kelly Services (S) Pte Ltd - IT,Software Engineer - Graduate Trainee,"Requirements
At least 6 months of Experience , Open to consider applicants with no experience
Technical Skills: Any programming language (C, C++, Java, .Net, Python)
Good analytical, problem skills with business level proficiency in English to liaise with end users for L1 support",
62,Shell Infotech Pte Ltd,Software Engineer/ Data Engineer – Permanent Position,"Software Engineer/ Data Engineer – Permanent Position
Requirements:
Degree in Information Technology, Computer Science, Biotechnology, Science or equivalent.
At least 5 years of research experience in the field of computer science, Data Preparation, Mathematical modelling and Simulation, Data Analytics and Optimization.
Knowledge of machine learning and data mining techniques in one or more areas of statistical modeling methods, time series, natural language, image/video text mining, optimization, information retrieval.
Proficient in Python, Excel, Scala, R, Matlab.
Proficient in Data science algorithms and strong understanding of the field.
Have experience in web development (HTML, CSS, JS).
Familarity with Linux.
Able to work independently in develop & operate the app in Hadoop environment.
Familiar with Spark, HBase, Hive, Hadoop and Big Data related technologies.
Experience in RHEL Linux, RDBMS and SQL is essential.
Experience in Cloud computing technologies (Azure/AWS).
Knowledge of Windows Server 2008 & 2012 and C# is an added advantage.
Good understanding of building a scalable system.
Practical, hands-on experience with data platforms and tool.
Strong critical thinking, problem-solving, programming skills and computer science knowledge.
Interested applicants please send your updated resume to
feroz@shellinfotech.com
Please mention you’re present and expected salary, and availability.",
116,Innocellence Systems Pte Ltd,"Senior Software Engineer, Singapore","Senior Software Engineers deliver high-quality functional applications and websites that satisfy the business needs and requirements of our clients. You will actively participate in the software development lifecycle, debug applications, and configure existing systems. We like people who love to code and have a history of building their own programs or applications. You should actively research creative solutions to problems.
Responsibilities
•	Develop and deploy fully functional applications based on business and technical specifications
•	Analyze overall development work and plan out tasks for maximum efficiency while reducing risk
•	Write clean, testable code including unit tests.
•	Debug applications and websites
•	Oversee your team’s technical deliverables, reviewing their code and coaching them to improve their skills
•	Work with multiple client partner teams to implement cohesive end-to-end experiences
•	Document development and operational procedures
Requirements
•	Degree in Computer Science, Engineering or equivalent
•	5+ years of professional software development experience
•	Demonstrable ability to build an end-to-end solution using enterprise technologies (E.g. .NET, Java, Salesforce, etc.)
•	Experience creating enterprise-level applications
•	Familiarity with agile environments
•	Excellent troubleshooting and problem-solving skills
•	Good communication skills
Kindly indicate your last drawn salary and notice period.",
203,SearchElect Pte Ltd,Security Software Engineer,"Please note: Due to the security nature of the client, interested applicants must be Singaporean or PR.
About Our Client
They are a specialist Cyber Security Product company with an R&D division formed by a talented group of cyber security experts, who are responsible for delivering cutting-edge projects using innovative active defense methods.
About the Security Engineer
Working alongside the research team, you will be responsible for developing PoC and transforming research into security products.
It will be an expectation to continuously develop your knowledge in a specific field of cyber security in order to establish yourself as a domain expert
Duties will include Software Development, technical design reviews, integration, testing and documentation, in addition to acting as a technical advisor to the research department
Experience Required:
Proficient in a high level programming / scripting language (Java, .Net, C++, python, bash)
Full stack developer from Database to Presentation layer.
Complete SDLC.
Experience in a Research or Product Development Environment
A keen knowledge and interest in Cyber Security, with an understanding of the threat landscape (e.g. MitM, Ransomware), attack vectors and active defence
Experienced in Software Security Reviews and Vulnerability Assessment
Ability to multi-task, as you will be engaged on various projects simultaneously
Relevant Security Certifications would be desirable
Understanding of the Network layer concepts.
If you are interested to learn more about the above job role or any other job opportunities, please apply to this job advertisement or alternatively contact the following consultant:
Daryl Thong
+65 6589 8787
daryl@searchelect.com
SearchElect Pte. Ltd. adheres to the Singapore Ministry of Manpower Tripartite guidelines on Non-Discriminatory Job Advertisements which you can find more information about HERE. If you feel any part of this job advertisement is discriminatory please immediately raise to our attention via marketing@searchelect.com. We take these matters seriously and thank you for your cooperation.",
207,Kelly Services (S) Pte Ltd - IT,Junior Software Engineer,"Prefer  6 months of Experience , Open to consider applicants with no experience
Technical Skills: Any programming language (C, C++, Java, .Net, Python)
Soft Skills: Willing to learn Treasury tool and face customers.
Good analytical, problem skills with business level proficiency in English to liaise with end users for L1 support
Interested candidates, kindly submit your updated CV with subject head title   Junior Developer   . We regret to inform that only shortlisted candidates will be notified.",
209,Techbridge Market Holdings Pte Ltd,Front-End Software Engineer,"Job Description :
Develop front-end SPA using Angular v4+ tech-stack.
Develop financial application/tools to help investors build, customise and analyse their investment assets.
Develop admin panel for managing system data.
Develop mobile native app or PWA. Obsess to write clean, optimized, and reusable code, take the code quality seriously.
Develop the application with a product development mindset.
Decide suitable UI/UX for the application. Working well with the team under Agile process.
Requirements
Degree in computer science or a related field, 5+ years of software development experience.
At least 1 year of experience with Angular 2+ tech-stack. Some keywords you should be familiar with: TypeScript/Ecmascript 6, Reactive Programming (RxJS), NgRx/Store, Functional Programming, Angular Reactive Form, Angular Routing, Lazy Loading.
Strong programming skills and base knowledge: OOP, SOLID, Data Structure and Algorithm, software development design patterns.
Excellent English communications and interaction skills. Knowledge of Continuous Integration and Automated Testing is a plus: Webpack, Docker, Karma, Protractor, Browser Stack.
Mobile app development experience is a bonus (NativeScript, Ionic, PWA).
Experience with a front-end chart library (Highchart) is a plus.
Have been working in finance service related companies or a fintech startup is a plus.",
216,Techbridge Market Holdings Pte Ltd,Software Engineer - Biometrics | Devops,"Job Description :
Main missions
The Innovation Labs team is responsible for exploring new technology areas and related opportunities, proposing new ideas and translating new ideas all the way to production.
In this role the Software Engineer will be working within Biometrics and Machine learning area and is responsible for proposing, prototyping proof of concept (POC) of new ideas and implementation of overall solution in line with the best practices so that the POC prototypes can be productized easily.
The position is also responsible for the deployment and maintenance of a cloud-based solution. The role requires the candidate to work with different cloud platforms such as AWS, GCP or Azure.
The Software Engineer must be able to work with an agile team located at different geographical location. Given the deep knowledge requirements, we are looking for candidates with experience in a commercial projects.
Qualifications
Education: Masters Degree Computer Science or equivalent
Experience Level: 5+ years experience
Requirements
Competencies
Strong proficiency in C/C++/Java development and Python/ Groovy scripting
Strong in Image Processing and Analytical skills for Facial Liveness Detection
Experienced with Machine learning in general and Deep Learning in specific
Good working knowledge of tools such as Git/Mercurial, and Jenkins/Hudson
UNIX/shell scripting, Linux administration
Experience with cloud-based platforms such as GCP, Azure and AWS will be a plus
Experience with agile methodology is preferred
Good communication skills and fluent in English
Other
Team player
Comfortable to work in multi-cultural work environment
Comfortable to work with parties across multiple geographical sites
Exhibits strong leadership qualities, decision making/problem solving skills
Dependable and able to take initiatives",
246,SearchElect Pte Ltd,Software Engineer,"Please note: Due to the security nature of the client, interested applicants must be Singaporean or PR.
Only shortlisted candidates will be notified
About Our Client
They are a specialist Cyber Security Product company with an R&D division formed by a talented group of cyber security experts, who are responsible for delivering cutting-edge projects using innovative active defense methods.
About the Software Engineer
Working alongside the research team, you will be responsible for developing PoC and transforming research into security products.
Duties will include Software Development, technical design reviews, integration, testing and documentation.
Experience Required:
Pr
oficient in a high level programming / scripting language (Java, .Net, C++, python, bash)
Full stack developer from Database to Presentation layer.
Complete SDLC.
Experience with the following domains, industries or technologies will be an added advantage:
Experience in a Research or Product Development Environment
A keen knowledge and interest in Cyber Security, with an understanding of the threat landscape (e.g. MitM, Ransomware), attack vectors and active defence
Experienced in Software Security Reviews and Vulnerability Assessment
Ability to multi-task, as you will be engaged on various projects simultaneously
Relevant Security Certifications would be desirable
Understanding of the Network layer concepts.
If you are interested to learn more about the above job role or any other job opportunities, please apply to this job advertisement or alternatively contact the following consultant:
Daryl Thong
+65 6589 8787
daryl@searchelect.com
SearchElect Pte. Ltd. adheres to the Singapore Ministry of Manpower Tripartite guidelines on Non-Discriminatory Job Advertisements which you can find more information about HERE. If you feel any part of this job advertisement is discriminatory please immediately raise to our attention via marketing@searchelect.com. We take these matters seriously and thank you for your cooperation.",
248,SearchElect Pte Ltd,Software Engineer,"Please note: Interested Applicants must be Singaporean or PR.
About Our Client
Our client is a specialist Cyber Security Product company with an R&D division formed by a talented group of cyber security experts, who are responsible for delivering cutting-edge projects using innovative active defense methods.
About the Software Engineer
Working alongside the research team, you will be responsible for developing PoC and transforming research into security products.
Duties will include Software Development, technical design reviews, integration, testing and documentation, in addition to acting as a technical advisor to the research department
Experience Required:
Proficient in a high level programming / scripting language (Java, .Net, C++, python, bash)
Full stack developer from Database to Presentation layer.
Complete SDLC.
Experience in a Research or Product Development Environment
Ability to multi-task, as you will be engaged on various projects simultaneously
If you are interested to learn more about the above job role or any other job opportunities, please apply to this job advertisement or alternatively contact the following consultant:
Daryl Thong
+65 6589 8787
Recruitment Consultant
daryl@searchelect.com
SearchElect Pte. Ltd. adheres to the Singapore Ministry of Manpower Tripartite guidelines on Non-Discriminatory Job Advertisements which you can find more information about HERE.  If you feel any part of this job advertisement is discriminatory please immediately raise to our attention via marketing@searchelect.com.  We take these matters seriously and thank you for your cooperation.",
251,SearchElect Pte Ltd,Security Software Engineer,"Please note: Due to the security nature of the client, interested applicants must be Singaporean or PR.
About Our Client
Our client is a specialist Cyber Security Product company with an R&D division formed by a talented group of cyber security experts, who are responsible for delivering cutting-edge projects using innovative active defense methods.
About the Security Engineer
Working alongside the research team, you will be responsible for developing PoC and transforming research into security products.
Duties will include Software Development, technical design reviews, integration, testing and documentation, in addition to acting as a technical advisor to the research department
It will be an expectation to continuously develop your knowledge in a specific field of cyber security in order to establish yourself as a domain expert
Experience Required:
Complete SDLC.
Proficient in a high level programming / scripting language (Java, .Net, C++, python, bash)
Full stack developer from Database to Presentation layer.
Experience in a Research or Product Development Environment
A keen knowledge or interest in Cyber Security, with an understanding of the threat landscape (e.g. MitM, Ransomware), attack vectors and active defence
Experienced in Software Security Reviews and Vulnerability Assessment
Ability to multi-task, as you will be engaged on various projects simultaneously
Relevant Security Certifications would be desirable
Understanding of the Network layer concepts.
If you are interested to learn more about the above job role or any other job opportunities, please apply to this job advertisement or alternatively contact the following consultant:
Daryl Thong
+65 6589 8787
daryl@searchelect.com
SearchElect Pte. Ltd. adheres to the Singapore Ministry of Manpower Tripartite guidelines on Non-Discriminatory Job Advertisements which you can find more information about HERE. If you feel any part of this job advertisement is discriminatory please immediately raise to our attention via marketing@searchelect.com. We take these matters seriously and thank you for your cooperation.",
