id,Job Title,Tokenized_Description,source
1,Physiotherapist,specialisation geriatrics setting senior daycare rehab centre looking for senior/ot and senior/pt for expanding organisation jd of occupational therapist plan and run occupational rehab therapy services conduct assessments for clients during admission and periodic reviews.,phy
1,Physiotherapist,institute an appropriate and effective client therapy treatment.,phy
1,Physiotherapist,participate in multidisciplinary case discussions with the care team.,phy
1,Physiotherapist,contribute to formulation and follow-up of clients individual care plan [icp] to ensure holistic health and care coverage.,phy
1,Physiotherapist,plan and conduct group therapy programme and activities for day care clients.,phy
1,Physiotherapist,review and revise programme schedule when necessary to enhance quality of therapy program.,phy
1,Physiotherapist,take charge of proper documentation of therapy records.,phy
1,Physiotherapist,interact to foster close and warm relationships with clients families and caregivers and to exhibit with sincerity the care and respect of clients.,phy
1,Physiotherapist,requirements bachelor degree / diploma in occupational therapy qualified and registered with ahpc [allied health professions council].,phy
1,Physiotherapist,minimum - years of working experience in a hospital or eldercare institution good communication and interpersonal skills interested candidates please send resume to wanyee@dhc.com.sg with last drawn/expected salary and reasons for leaving each employment.,phy
1,Physiotherapist,ea license c registration no r,phy
2,Physiotherapist,responsibilities diagnose assess and treat patients physical problem/condition develop and suggest treatment programme that encourage exercise and movement by the use of a range of technique and equipment educate patients about how to prevent and improve conditions work with patients who have a range of conditions ad-hoc duties assigned requirements degree in physiotherapy fully registered with ahpc prior - years of relevant experiences interested candidates who wish to apply for the advertised position please email us an updated copy of your resume attn blh or contact our office at for a confidential discussion.,phy
2,Physiotherapist,we regret to inform that only shortlisted candidate will be notified.,phy
2,Physiotherapist,job code blh email addresshealthcare@capitasingapore.com ea license no c,phy
3,Physiotherapist,the role to provide the highest quality of physiotherapy to patients of the hospital.,phy
3,Physiotherapist,key accountabilities - assist the hod / chief physiotherapist in managing the physiotherapy services.,phy
3,Physiotherapist,- evaluate patient as a basis for planning and implementing an appropriate treatment programme.,phy
3,Physiotherapist,- administer therapeutic interventions to alleviate impairment of functional limitations and to maximize optimal recovery.,phy
3,Physiotherapist,- provide patient and family education.,phy
3,Physiotherapist,- initiate discharge planning and recommend appropriate discharge therapy programme.,phy
