,job_title,skill,job_desc,Industry,Function,Role,Education
81,"SVP / VP, Data Scientist, Business Analytics, Consumer Banking Group","SVP / VP
Data Scientist
Business Analytics
Consumer Banking Group","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
About this role
The Regional Data Science team is part of the Regional Business Analytics team for Consumer Banking Group. Our responsibilities include building the Data Science Solutions using advanced machine learning methods, recommendation engines, text mining solutions and customer models to increase the business impact and efficient customer management, as well as answer numerous business questions using statistical tools and data analysis.
Responsibilities
Involve in building cutting edge algorithms and working with state-of-art data science and machine learning tools such as Spark, Tensor Flow and will have mastery in any number of analytic platforms like SAS, SQL, Python, R. etc.
Work with large scale datasets, distributed Big Data Platforms for a variety of advanced analytics solutions across the Bank ranging from recommendation engines, Propensity models, customer segmentation, Graph models, pricing and more.
Work alongside BA Leadership, making regular presentation to senior management including C-level executives within the Consumer Bank Leadership across the region
Help the team with methodology and guidance in the areas of experiment design and data analysis.
Requirements
Masters or equivalent degree in Statistics, Applied Mathematics, Operation Research, or equivalent quantitative fields preferred. Strong mathematical and statistics background.
6-10 years of experience in industry (ideally consumer banking, ecommerce, telecoms, retail) and/or academia with demonstrated track record of innovative research and insight generation and implementation of insights into tools/processes delivering front end business results
At least 5 years of data mining and machine learning on large amount of data, building and implementing various statistical models.
Good understanding of technology tools especially those related to analytics, data & statistical modelling.
Programming experience in SAS (Base, Stats, Macro, EG, EM), R, Python, Spark, Tensorflow or other statistical programing software.
Familiarity with Hadoop, Hive, and Pig. Proficient in using databases like Teradata, Oracle, SQL Server, Neo4J etc..
Knowledge of internet marketing data collection and metrics as well as familiarity with digital analytics platforms like Google Adwords, Facebook Contextual marketing, Omniture/Adobe, Mediaplex, etc would be helpful.
Ability to communicate complex analysis/models across a diverse team.
Good written and oral communication skills
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",IT/ Computers - Software,IT,System Analyst/ Tech Architect,
106,Business Analyst (Banking),"Business Analyst
Banking","	Requirement gathering/testing experience, with banking related
	Strong team player with ability to work with different groups of stakeholders.",Banking/ Financial Services,IT,"•
Software Engineer/ Programmer
•
Team Leader/ Technical Leader
•
Business Analyst","Bachelors
Degree"
136,"Associate / Analyst, Business Banking Relationship Manager, Consumer Banking Group","Associate / Analyst
Business Banking Relationship Manager
Consumer Banking Group","Business Function
We deliver a comprehensive suite of innovative banking services and financial solutions to individuals, ranging from the man-in-the-street to the mass affluent. Providing sound wealth management and financial advisory services, we help our customers make informed decisions about their money and are committed to helping them plan and achieve their life goals. Products and services within the Consumer Banking Group include loans, credit cards, investment and unit trusts, insurance and priority banking.
Responsibilities
Sales Performance:
Achieve sales revenue and customer acquisition targets established by the Bank
Manage a sales portfolio and build strong relationships to acquire new businesses and to achieve desired lending product targets
Participate in sales activities and marketing-related events like agency networking sessions may be required from time to time
Assess customer loan requirements and work out sound loan schemes to suit individual needs as well as business needs
Compliance:
Constantly upgrade and develop new skills through continual training, education and observations
Ensure that all sales processes are conducted in compliance with both internal and external regulatory guidelines
Ensure that all documentation are complete and in order in line with guidelines
Sales Related Service:
Achieve high standard of customer satisfaction and service quality
Ensure all customer requests are dealt with in a timely and consistent manner
Handle all walk-in customer queries, objections with accurate information
Minimise sales related errors and write-offs
Requirements
Degree qualification with 2-3 years of sales experience in either consumer banking or enterprise banking
Proven sales track record in the consumer or enterprise banking space
Knowledge of competitors and market place
Ability to network and build rapport with external stakeholders (corporations and potential referral agents)
Strong passion for sales along with good presentation and interpersonal skills
Strong analytical, problem-solving and decision-making skills with ability to adapt to changes
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Loans Management,
145,"ED/SVP, UX Designer – Digital Banking, Consumer Banking Group","ED/SVP
UX Designer – Digital Banking
Consumer Banking Group","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Produce high fidelity design deliverables that guide our UX efforts
Present well-articulated design decisions to teams and stakeholders
Actively contribute to our UX community to enable a fertile creative environment
Stay savvy about industry and UX trends, applying them wherever necessary
Brainstorm the next big thing one moment and still tweak pixels right before launch
Intuitively simplify complex workflows
Communicate complex interaction concepts clearly and persuasively
Requirements
6+ years of experience in Interface Design, Interaction Design, or Information Architecture
An outstanding portfolio or work samples
A clean design aesthetic and knowledge of how design and engineering impact each other
A thorough knowledge of the UX lifecycle
Extensive experience in designing web and mobile applications using a broad array of tools like Visio, OmniGraffle, Adobe CS, Invision, Axure, etc
Hands-on experience with adaptive and responsive techniques
Working knowledge of Web 2.0, CSS3, HTML5, mobile OS, etc
A Bachelor’s Degree in Human Factors Engineering, Design, HCI, or equivalent project/portfolio experience
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,,Other Roles,
146,"Associate / Analyst, Corporate Action Processor, Institutional Banking Group Operations, Technolo...","Associate / Analyst
Corporate Action Processor
Institutional Banking Group Operations
Technolo...","Business Function
Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.
Job Purpose
It exists to ensure that clients’ entitlements to corporate action events are protected.
It is expected to meet or exceed clients SLA requirements and achieve high standard of quality and commitment by specifying the roles and responsibility of each staff.
Key Accountabilities
Timeliness – to ensure that all Corporate Announcements & processing are done within 24 hours of receipt of announcements or proceeds
Accuracy – to ensure at least 95% accuracy
Responsive – to ensure that all clients queries are responded to within 24 hours of receipt of query or if not to provide interim reply and to follow with a response within 3 days
Risk- to ensure that there are no critical audit findings / issues and to escalate any immediate and time critical issues to higher authorities.
People – to participate in staff surveys, attend training when nominated and be crossed trained in other areas of work within the section or across sections in order to become a well trained leave cover.
Responsibilities
Check and ensure that all corporate action events are processed correctly and promptly.
Ensure prompt notification to clients on voluntary corporate action events such as rights, dividend with options, expiry of warrants, redemption, etc.
Check that clients’ instructions are executed accordingly.
Ensure that clients’ entitlements are protected.
Handle clients’ enquiries and provide timely responses.
Maintain high standard of service quality.
Requirements
Degree in any discipline.
Minimum 2-3yrs of relevant experience in Corp Action.
Proficient in MS Office application.
Excellent interpersonal & communication skills.
Team player who can work independently with minimal supervision.
Able to thrive in fast paced environment.
Detailed and meticulous.
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
155,"AVP / Senior Associate, Service Manager, Treasures Private Client, Consumer Banking Group","AVP / Senior Associate
Service Manager
Treasures Private Client
Consumer Banking Group","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
1. Service Management Performance
To attend to client queries on wealth management needs and use the relevant skills to probe and identify needs to provide appropriate solutions to clients
To achieve service standards set up for TPC staff to develop and improve client satisfaction and retention
To ensure all client instructions are dealt with in a timely and consistent manner while adhering to regulatory, compliance and internal security audit requirements
To attend all relevant training and briefings
To keep attuned to the current economic and financial markets to be current and proficient in attending to client’s queries
2. Customer Care
To ensure that results from monthly service monitoring sessions and customer satisfaction surveys: e.g. quality visits / mystery shopping are in adherence with the set standards
3. Service Improvement Programme and Teamwork
To participate in Service & Process Improvement initiatives and other team-related activities
Work closely with relevant support units to ensure customer’s instructions are being handled on timely manner
4. Activities/Operations
Attend to and follow-up on client requests/issues daily.
Ability to interact with employees & clients of all levels and have developed strong inter-departmental and client relationship
Referring business opportunities from existing portfolio of clients to Relationship Managers
To identify opportunities and provide information and updates on investment products and services offered
Demonstrate clear support for other colleagues – training, guiding, mentoring and motivating
To conduct regular portfolio reviews with clients
Identify referral opportunities for new account opening: e.g. Member-Get-Member and support acquisition programs
5. Support and Alignment to Bank Strategic Focus and Vision
Aligned with Bank’s key strategic focus and to demonstrate support and fulfilment towards these visions: i.e. Application in daily interactions and BAUs
Receptive to changes and innovations and able to think out of the box to generate ideas and contribute to positive re-definition of end to end experiences for clients and internal stake holders alike
Support innovation and digital initiatives in line with business directives and scorecard
Requirements
Minimum 4 years relevant working experience
Sound knowledge of banking products, services and procedures
Customer service oriented
Good understanding of financial, investment products & services including Equity and Bond markets
Strong knowledge of compliance and regulatory requirements and exposure to multi-cultural issues would be an added advantage
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
170,"VP / AVP, Financial Crime & Security Services (AML) Advisory - Private Banking, Group Compliance","VP / AVP
Financial Crime & Security Services (AML) Advisory - Private Banking
Group Compliance","Business Function
Group Legal, Compliance & Secretariat ensures that the bank's interests are protected by zealously guarding and enhancing its reputation and capital. We also work to maintain a good standing with all our regulators, customers, and business partners. Because we believe that at the heart of business banking is to uphold the values of trust and integrity for all our stakeholders.
Responsibilities
Ensure consistent interpretation and implementation of Group CDD standard across Business Units/Countries. Provide regional support to CDD related matters.
To assist in implementing EWRA Framework.
Review of high AML risk cases and provide appropriate advisory strategy.
Participate in digitalization projects, e.g. KYC related process improvements.
To assist in conducting NPA reviews.
Conduct AML trainings.
Prepare monthly AML key metrics reporting.
Participate in ad-hoc projects involving AML initiatives/improvements.
To assist on other FCSS advisory areas – Fraud, ABC, Sanctions, etc.
Requirements
Bachelor Degree in any relevant field.
Minimum 10 years of AML experience.
Good working knowledge on Private Bank.
Good understanding of MAS Notices, Guidelines and Regulations on AML/CFT and Sanctions.
Effective communication and written skills.
Able to work in a team and work confidently with Senior Management
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Compliance & Control,
178,"AVP, Technical Business Analyst (Loan Module), Group Consumer Banking and Big Data Analytics Tech...","AVP
Technical Business Analyst (Loan Module)
Group Consumer Banking and Big Data Analytics Tech...","Business Function
Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.
Job Purpose
The selected candidate is required to take on the role of the Technical Biz Analyst in WMS, CASA and/or Loans.
Key Accountabilities
To be the point of contact for the business for initiatives.
Take on the role of Tech BA in a scum team.
Work with development, testing, production support and/or vendor teams on functional requirements.
Responsibilities
The new hire will support a portfolio of applications in the above areas with the following key responsibilities:
Main focal point with Business Unit and Development/Vendor teams on initiatives - from conceptualization to implementation.
Validate/Clarify user stories/requirements.
Participate in review of system design.
Work with user, development and production support team for implementation activities.
Requirements
At least 6-8 years’ experience in CASA, Loans and/or WMS as a business analyst.
Possess excellent verbal and written communication skills.
Experience in project management will be added advantage.
Familiar with Finacle, JBoss, Java, Apache Tomcat, Linux, Springboot, Springbatch, Spring-data, Angular JS for UI.
Familiar with modern application design using micro-services and use of CI/CD tools such as GIT, JIRA.
Have track record of successful implementations using these technologies.
Previous hands-on experience in coding using these technologies would be advantageous.
Knowledge of Agile methodologies.
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",IT/ Computers - Software,IT,Technical Writer,
301,"ED, Investment Counsellor, Private Banking, Consumer Banking Group","ED
Investment Counsellor
Private Banking
Consumer Banking Group","Business Function
DBS’ Private Banking offers a one-stop, full-service touch-point for total banking requirements and provides the highest level of personalised banking. We have a team of dedicated, experienced investment advisors who identify opportunities in the various asset classes and employ the best strategies and product vehicles to cater to each client’s needs. Coupled with partnerships within the DBS network and with global institutions, we strive to build long-term relationships with our Private Banking clients in Asia by providing them with high quality, timely and extensive wealth management, investment and financial solutions.
Responsibilities
Potentially lead a team of Investment Counsellors in providing advisory and investment services to private banking clients; delivering profession and high value add services to High Net Worth Clients.
Jointly develop and maintain key client relationships with Relationship Mangers via providing prompt market updates, portfolio investment advice and facilitate quality execution of services/offerings.
Partner Relationship Managers to review and regular monitoring of client portfolios via appropriate investment strategies/offerings.
Actively service a portfolio of tagged clients with revenue budgets jointly agreed with the relationship managers
Ensure risk ratings of products sold to clients are suited for their risk profiles
Ensure audit trail and maintain records of clients communication & comply with documentation requirements
Perform regulated activities and ensure full compliance with policies, standards, guidelines & procedures laid down by the Bank and regulatory authorities
Requirements
Degree holder in Finance, Business or related discipline
More than 10 years of portfolio management experience in financial institutions
Preferably with experience in building and leading high performing teams
Strong understanding of financial and investment markets
Analytical mind and sensitive to financial market trends
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
319,"AVP / Senior Associate, Risk & Control Manager, Institutional Banking Group Technology, Technolog...","AVP / Senior Associate
Risk & Control Manager
Institutional Banking Group Technology
Technolog...","Business Function
Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.
Job Purpose
Be part of the risk and control team to lead and implement IBGT risk and control preventive improvement initiatives
Key Accountabilities
Front all internal and external audits issues for the department and ensure audit action items are closed appropriately and promptly
Conduct risk assessment for areas highlighted and advise the management on the mitigation control processes to be implemented
To represent the department at group level working committees for thematic issues affecting the bank and drive the program at departmental level in closure of the gaps.
Responsibilities
Manage the department’s process improvements and quality programs by participating in research / advisory services, including capturing of organizational metrics and analysis;
Perform data analysis or procedure reviews to ensure compliance;
Track process improvements or issues to ensure timely closure;
Work with stakeholders, IT infrastructure and auditors for projects and audit matters;
Participate and coordinate in internal/external audit activities;
Provide timely and periodic update to IBGT managements on IBGT audit posture
Provide technical expertise/consultation for process improvement and quality assurance to project managers and other IT teams;
Perform risk assessment and identify mitigation controls for the risk areas identified
Partner with application managers to ensure risk areas from risk events are properly and effectively mitigated
Communicate new policies and standards to relevant teams
Requirements
Minimum a degree in Computer Science, Engineering, Information Technology or related discipline from a recognized University;
At least 3 years of working experience in the Financial / Banking IT industry;
Familiar with Applications Delivery Life Cycle, Project Management best practices and IT Controls
Experience in IT audit or CISA certified preferred;
Experience in operational risk management and control self assessment
Have eyes for details;
Ability to facilitate workshops and/or focus groups;
Proactive team player with ability to work independently and equips with excellent communication (both spoken and written), presentation and business writing skills in English;
Able to manage stress and multi-task in a fast-paced environment and able to work on irregular working hours;
Able to collaborate within a team, at various levels of stakeholders from the operating level to the senior management across locations
Able to effectively manage time and prioritize tasks and responsibilities
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",IT/ Computers - Software,IT,System Analyst/ Tech Architect,
