id,Job Title,Tokenized_Description
1,Accountant,benefits working hours monday to friday am-pm working location nearby bedok mrt aws times vb basic salary up to responsibilities handle full set of accounts ap/ar/gl and monthly closing review and reconcile intercompany transactions discrepancies assist in preparation of management reports cost and ap control with b/s analysis preparation of monthly forecast additional information sap knowledge applicants who possess relevant experience for the above responsibilities are most welcome to apply.
1,Accountant,if you do not possess the above experience your application will still be considered on individual merits and you may be contacted for other opportunities.
1,Accountant,please submit your updated resume in ms format by using the apply now button.
1,Accountant,alternatively you can send your resumes to mci@mci.com.sg.
1,Accountant,our dedicated and approachable mci consultants will get back to you soon for a confidential discussion.
1,Accountant,please include the following information in your resume education background work experiences in point forms reason s for leaving current and expected salary date of availability / notice period we regret to inform that only shortlisted candidates would be notified.
1,Accountant,we wish you all the best in your career search.
1,Accountant,lau wei ling natalyn registration number r ea licence no c mci career services pte ltd
2,Accountant,senior accountant months contract location mountbatten job responsibilities assist in month end closing using accpac assist in monthly and quarterly reporting using crystal report and excel assist in forecast and budget process liaise with operation team for issues prepare and update financial modelling excel templates for feasibility studies prepare and update standard operation procedures sops assist in monthly cashflow consolidation job requirements possess at least bachelors degree in finance/accountancy or equivalent at least years of experience in the related field working knowledge of accpac to perform month end closing using accpac working knowledge of excel previous experience in financial modelling is desirable interested applicants kindly send in your resume in microsoft format with photo attached and expected salary to aiden@jobstudio.com.sg jobstudio pte ltd license no.
2,Accountant,c seng yi da aiden registration no.
2,Accountant,r
3,Accountant,handling full functions of finance and accounts leading singapore and regional offices preparation of financial and management reports preparation of short and long term liquidity planning performing month-end closing requirements candidate must possess at least a diploma in accounts/finance at least years of working experience in the accounts/finance field is required regional experience is a must interested candidates who wish to apply for the advertised position please email us an updated copy of your resume attnsans or contact our office at for a confidential discussion.
3,Accountant,we regret that only shortlisted candidates will be notified.
3,Accountant,job code sans email address cap.ta@capitasingapore.com ea license no.
3,Accountant,c
4,Accountant,our client a well-known japanese mnc is currently looking for a accountant assistant position.
4,Accountant,responsibilities full set of accounting ar ap gl providing support to the accounting department.
4,Accountant,performing basic office tasks such as filing data entry answering phones processing the mail etc.
4,Accountant,handling communications with clients and vendors via phone email and in-person.
4,Accountant,processing transactions issuing checks and updating ledgers budgets etc.
4,Accountant,preparing financial reports.
4,Accountant,assisting with audits fact checks and resolving discrepancies.
4,Accountant,assist in ad-hoc on administrative duties assigned by superior job requirements minimum diploma/ degree studies minimum years of relevant working experience.
4,Accountant,working experience with japanese company is preferred proficient in japanese at least jlpt n in ordet to liaise communicate with japan hq will be advantage able to commit immediately or on short notice interested candidates who wish to apply for the advertised position please email us an updated copy of your resume in word format to cherree.tar@persolsg.com kindly include the following in your resume.
4,Accountant,.
4,Accountant,availability .
4,Accountant,current salary .
4,Accountant,expected salary .
4,Accountant,reason for leaving thank you for your application but we regret only shortlisted applicants will be notified capita pte ltd ea license no.c rcb no.
4,Accountant,m taweesinthanaphat cherree ea registration no.
4,Accountant,r
5,Accountant,regional portfolio listed mnc excellent employee welfare the job responsible for managing the full spectrum of finance accounting functions for regional headquarter in singapore lead the singapore team ensure smooth operation of the daily operational accounting matters month end closing analysis and reporting as well as all financial controlling activities lead the regional offices finance team leader by providing guidance on financial controlling duties financial and management analysis and reporting including reviewing regional financials to ensure timely and accurate submission according to group timelines.
5,Accountant,perform month end closing financial accounting and reporting and ensure timely and accurate submission according to group timelines prepare financial and management analysis and reports co-ordinate and prepare quarterly rolling forecast and annual budget monitor working capital and continue to strive to improve on dso and dpo results by ensuring any initiatives are follow through and identify any process improvements needed.
5,Accountant,prepare and ensure appropriate quality of short term and long term liquidity planning to ensure cash are optimised identify and drive continuous process improvement and develop effective accounting and internal control procedures recommend and implement best practices accounting process financial and internal control policies ensuring a high level of compliance assist in investigation of financial and accounting issues work with relevant department to resolve issues review and filing of gst liaise with external auditor for year-end statutory audit.
5,Accountant,liaising with internal and external auditors tax agents to ensure compliance and proper and timely filing of tax and statutory returns liaise with local banker affiliates and group finance and treasury on related matters oversee the admin function and approve admin expenses perform ad hoc assignments as and when required the talent degree in accounting finance/ acca years of experience in full set accounting with regional coverage in singapore malaysia and philippines.
5,Accountant,proficiency in coda if interested please email your updated cv to grace.leong@capitasingapore.com.
5,Accountant,we regret to inform only shortlisted candidates will be contacted.
5,Accountant,leong ka lai r c capita pte ltd
6,Accountant,job descriptions reporting to senior manager finance assist in financial planning control and data analysis.
6,Accountant,able to assist in performing period end closing procedures and costing of the hospitals products and services.
6,Accountant,job requirements bachelor in accountancy or equivalent at least years of experience in same capacity knowledge of programming or coding experience with anaplan is added advantage proficient in ms office and advance excel applications familiar with oracle accounting software or equivalent able to perform reconciliation of accounts and audit schedules willingness to take up new challenges/role
7,Accountant,responsibilities actively monitor review and resolve direct and indirect taxation issues for the group provide monthly summary on the taxation issues which will affect the group work closely with business managers and project managers to resolve taxation matters related to business and projects i.e.
