id,Job Title,Tokenized_Description
1,Data Analyst,my client is a us multinational conglomerate.
1,Data Analyst,with billion in annual sales my client employs people worldwide and produces more than products my client has operations in more than countries including international companies with manufacturing operations and companies with laboratories.
1,Data Analyst,job description manage new product request through npi/npa manage product supply chain set up information such as sos code and lead time.
1,Data Analyst,partner with business team on the transition plan for product phase in/out activation and deactivation and recommend best appropriate transition plan.
1,Data Analyst,manage sku creation and maintenance of skus in the operating system including phasing in and out of products examine data records inspect and record incoming data for completeness accuracy of codes and other potential problems in processing subject matter experts in master data to provide guidance to relevant requester and drive standardization sku master data and maintenance.
1,Data Analyst,ensure process is in alignment to acoe operating policies and procedures job information salary up to year contract renewable ang mo kio job requirements minimum diploma minimum year of supply chain / logistics experience proficient in ms excel pivot table vlookup interested applicants please send your resume in microsoft word format kelly services singapore pte ltd i ea license no.
1,Data Analyst,c i rcb no.
1,Data Analyst,e i jin vatenkeist ea personnel registration no.
1,Data Analyst,ea license no.
1,Data Analyst,c cei registration no.
1,Data Analyst,r
2,Data Analyst,flight operations -data analyst evidence based training job description the successful candidate will develop means to make data assets available and apply big data analytics through various technical tools and techniques in a secure manner to add value to the data.
2,Data Analyst,key responsibilities include assist in the implementation and management of the evidence-based training ebt program in flight operations.
2,Data Analyst,understand and develop advanced features of an internal data tool to increase utilization and implement data retrieval and customisation of dashboards.
2,Data Analyst,explore capabilities in the context of flight operations and guide the department in data visualisation journey so that useful insights can be gained.
2,Data Analyst,coordinate efforts in implementing automation and data analytics projects and liaise with it division on business requirements.
2,Data Analyst,manage data infrastructure within flight operations training standards.
2,Data Analyst,manage the knowledge and implementation of data analytics tools.
2,Data Analyst,conduct statistical study of data to gain insights on training requirements and operational excellence.
2,Data Analyst,provide training and support to flight operations training standards on data analytics tools.
2,Data Analyst,collaborate with industry partners on data analytics related projects.
2,Data Analyst,required skills possess a good bachelor degree in it computer science data science computer engineering or related discipline.
2,Data Analyst,experience in data modelling and data visualisation is preferred.
2,Data Analyst,knowledge of data warehouse/bi etl data visualisation platforms/systems is required.
2,Data Analyst,curious analytical technically sound with strong problem-solving skills.
2,Data Analyst,good teamwork and communications skills able to relate to others and share information effectively.
2,Data Analyst,detailed and meticulous with good planning and organisational skills.
2,Data Analyst,possesses a good degree of initiative to contribute to the team goals.
2,Data Analyst,has understanding of organizational system design.
3,Data Analyst,duties build dashboards to automate reporting to generate daily reports to generate weekly localisation report requirements candidates with previous data analysis experience- media or tech company is a plus.
3,Data Analyst,candidates with excel fluency is a huge advantage.
3,Data Analyst,proficient in ms excel good to have pivot table/ vlookup candidates with deep understanding of statistics highly organized and strong attention to detail comfort with both quantitative and qualitative analysis will be advantageous.
3,Data Analyst,interested candidates please email and updated resume attached with full name last drawn salary reason of leaving in every previous job and expected salary to tc@capitagrp.com contact person fal ea reg no r ea license no c we regret that only shortlisted candidates will be notified by submitting your curriculum vitae or personal data to us in connection with your job application you are deemed to have read and agreed to the terms of our privacy policy and consented to the collection use and disclosure of your personal data by us and our affiliates in accordance with our privacy policy.
3,Data Analyst,please visit www.capitagrp.com for a copy of our privacy policy.
3,Data Analyst,if you wish to withdraw your consent please drop us an email to let us know.
4,Data Analyst,design develop test and implement initiatives related to statistical forecasting business intelligence and advance analytics.
4,Data Analyst,participate in data collaboration projects to identify build and support users in using data analysis to make support business operations and decisions.
4,Data Analyst,develop and automate reports iteratively build and prototype dashboards to provide insights at scale solving for analytical needs.
4,Data Analyst,uncover insights and present findings and recommendations to multiple levels of stakeholders creating visual displays to communicate quantitative information.
4,Data Analyst,apply and integrate statistical mathematical predictive modeling and business analysis skills to manage and manipulate complex high-volume data from a variety of sources.
4,Data Analyst,keep abreast of latest analytical techniques and identify appropriate data driven predictive analytics from use case concept through experiment design to industrialization/deployment to end users.
4,Data Analyst,work collaboratively with key business and technology teams to ensure that strategic initiatives are delivered successfully and that the solutions delivered are aligned to the planned enterprise it framework.
4,Data Analyst,job requirements bachelors degree in in statistics mathematics computer science/information technology or related field.
4,Data Analyst,proficiency in analytical tools such as sas spss tableau.
4,Data Analyst,broad and in-depth knowledge of statistical methods and analytical techniques.
4,Data Analyst,strong analytical aptitude with a proven ability to analyze/interpret data and build quantitative models of business problems.
4,Data Analyst,previous sales forecasting experience at a consumer-facing company preferable.
4,Data Analyst,good facilitation and presentation skills including training delivery.
4,Data Analyst,excellent oral and written communication skills organizational and time-management abilities.
4,Data Analyst,high-initiative self-starter and able to work with limited supervision.
4,Data Analyst,positive attitude.
4,Data Analyst,able to work well with culturally and geographically diverse teams.
5,Data Analyst,design develop test and implement initiatives related to statistical forecasting business intelligence and advance analytics.
5,Data Analyst,participate in data collaboration projects to identify build and support users in using data analysis to make support business operations and decisions.
5,Data Analyst,develop and automate reports iteratively build and prototype dashboards to provide insights at scale solving for analytical needs.
5,Data Analyst,uncover insights and present findings and recommendations to multiple levels of stakeholders creating visual displays to communicate quantitative information.
5,Data Analyst,apply and integrate statistical mathematical predictive modeling and business analysis skills to manage and manipulate complex high-volume data from a variety of sources.
5,Data Analyst,keep abreast of latest analytical techniques and identify appropriate data driven predictive analytics from use case concept through experiment design to industrialization/deployment to end users.
5,Data Analyst,work collaboratively with key business and technology teams to ensure that strategic initiatives are delivered successfully and that the solutions delivered are aligned to the planned enterprise it framework.
5,Data Analyst,job requirements bachelors degree in in statistics mathematics computer science/information technology or related field.
5,Data Analyst,proficiency in analytical tools such as sas spss tableau.
5,Data Analyst,broad and in-depth knowledge of statistical methods and analytical techniques.
5,Data Analyst,strong analytical aptitude with a proven ability to analyze/interpret data and build quantitative models of business problems.
5,Data Analyst,previous sales forecasting experience at a consumer-facing company preferable.
