id,Job Title,Tokenized_Description
1,Receptionist,- basic building management industry working location jurong am to pm days per week no experience require training aning will be provided responsibilities attend to walk in guest and phone enquiries sending and receiving of emails direct phone calls to respective department data entry of document scanning and filing any other ad-hoc duties as assigned requirement min gce n level / ite / diploma in any discipline years of working experience able to commence immediately candidates are encouraged to apply this position via apply now button with the following information in the resume work experiences and job responsibilities current and expected salary reason for leaving date of availability education background
2,Receptionist,to / day work week office hours mandarin speaking to liaise with mandarin speaking customers vendors west pandan avenue - transport from clementi mrt our client is an mnc which provides automobile industrial power solutions.
2,Receptionist,they are currently sourcing a suitably qualified candidate to join their team as an office receptionist .
2,Receptionist,responsibilities handle all receptionist duties assist in office administration e.g.
2,Receptionist,vendor liaising maintaining and replenishing office supplies coordinate service maintenance of office requirements min.
2,Receptionist,o levels with - years' working experience.
2,Receptionist,excellent communication and interpersonal skills bilingual in english mandarin to liaise with mandarin speaking customers vendors singaporeans only.
2,Receptionist,other information location pandan ave transport from clementi mrt working days day work week salary to how to apply simply apply here or send your resume to tham ying wen ea personnel reg.
2,Receptionist,no.
2,Receptionist,r at converge@achievegroup.asia for important enquiries regarding this position you may contact ying wen at for a confidential discussion.
2,Receptionist,please indicate the below information in your resume current expected salary reasons for leaving notice period / availability to commence work we regret only short listed candidate will be notified.
2,Receptionist,all applications will be treated with the strictest confidence.
2,Receptionist,by submitting any application or résumé to us you will be deemed to have agreed and consented to us collecting using retaining and disclosing your personal information to prospective employers for their consideration.
2,Receptionist,your success is our achievement
3,Receptionist,provide administrative support issue delivery orders invoices quotations and other paperwork keep track of company vehicle maintenance record e.g.
3,Receptionist,renewal of insurance road tax vehicle servicing accident cases etc arrange vehicle-related appointments e.g.
3,Receptionist,servicing inspection repair answer and direct phone calls with polite and cheerful manner greet and assist walk-in customers/visitors ad hoc duties as assigned requirements candidate must possess at least a higher secondary/pre-u/a level/college professional certificate/nitec diploma advanced/higher/graduate diploma any field.
3,Receptionist,pleasant telephone manner proficient in ms word and excel possess good organisational skills ability to prioritise and demonstrate attention to details proficient with microsoft word and excel able to work .days able to converse with chinese speaking clients full-time position available.
4,Receptionist,provide administrative support issue delivery orders invoices quotations and other paperwork keep track of company vehicle maintenance record e.g.
4,Receptionist,renewal of insurance road tax vehicle servicing accident cases etc arrange vehicle-related appointments e.g.
4,Receptionist,servicing inspection repair answer and direct phone calls with polite and cheerful manner greet and assist walk-in customers/visitors ad hoc duties as assigned requirements candidate must possess at least a higher secondary/pre-u/a level/college professional certificate/nitec diploma advanced/higher/graduate diploma any field.
4,Receptionist,pleasant telephone manner proficient in ms word and excel possess good organisational skills ability to prioritise and demonstrate attention to details proficient with microsoft word and excel able to work .days able to converse with chinese speaking clients full-time position available.
5,Receptionist,job responsibilities welcome visitors to the office and direct them to appropriate person announce visitors to staff answering incoming calls filing paper work ensure that daily tasks are carried out smoothly monitor visitor access and maintain office security.
5,Receptionist,up-keeping of visitor logbook.
5,Receptionist,set-up and coordination of office facilities provide administrative or general office support duties as needed or assigned job requirements able to work well with others friendly and cheerful able to communicate and provide information to clients good presentation comfortable with clients face to face and over the phone interaction projects a welcoming and professional image proficiency in microsoft applications including word and excel w orking hours monday to friday regular hours nearby mrt station lavender mrt station a good employment benefit and good career growth awaits the successful candidate.
5,Receptionist,interested candidates please appy via apply now button.
5,Receptionist,we regret only shortlisted candidates will be notified.
5,Receptionist,thank you for your application.
6,Receptionist,urgent temp receptionist working date immediate - months convert to pemp working hour monday to friday hrs - hrs and alternate saturday hrs - hrs location ubi attire office wear salary up to /month extra duty allowance job duties welcomes visitors by greeting them in person answering or referring inquiries.
6,Receptionist,directs visitors by maintaining employee department directories giving instructions maintains security by following procedures job requirement min o level and above must have receptionist or customer service working experience singaporean only job code czw email address os@capitagrp.com as this position is urgent kindly email detailed cv or contact us @ attention to eva cheu with current and expected salary notice period and reason for leaving each job.
