url,Job Title,Company,Job Description,company_desc
https://www.jobstreet.com.sg/en/job/accounts-executive-fullsets-real-estate-property-management-6843738?fr=J&src=16&searchRequestToken=3a58aa26-609a-4aab-fd94-57ef693276dd&sectionRank=16,"Accounts Executive, Fullsets (Real Estate / Property Management)","Cazaja Resources Pte Ltd

    							     
																						
(Recruitment Firm)","Our client is renowned within Real Estate industry located within Central Business District area. They are looking for an Accounts Executive to join their team.
 
- Good working location
- Fullsets of Accounts
- Prior supervisory experience added advantage
- Real estate industry background
 
Job Description:
Maintain full set of accounts and ensure that the monthly reporting timelines are duly met
Monthly management reports
Supervise Accounts Payable and Accounts Receivable Officers
GST returns & Income Tax Computation and Property Tax
Cash Management and Forecast
Statutory Accounts
Budgeting and Forecasting
Assist with Internal Audit as and when necessary
Assist with other ad-hoc tasks where necessary
Job Requirements:
Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Economics, Finance/Accountancy/Banking, Business Studies/Administration/Management, Mathematics, Commerce or equivalent.
At least 3 year(s) of working experience in the related field is required for this position.
Applicants must be willing to work in Raffles Place.
Preferably Senior Executives specializing in Finance - General/Cost Accounting or equivalent.
Experience in managing a small team.
Able to work in fast pace environment and meet tight deadlines.
Prior similar experience in real estate is a must.
Full-Time position(s) available.
 
Interested applicants kindly click 'Apply Now'.
I regret that only shortlisted applicants will be notified.
Cazaja Resources | EA Licence No.: 18C9126 | EA Reg. No.: R1218682 (Gwen Goh Kangping)","At Cazaja, we believe that professionalism and service quality to our clients is of utmost priority as an executive search firm.
 
We believe in  providing cost competitive and effective solutions for our senior and middle management level talent finder services.
 
This approach is likewise applied to our other business services such as contract placement and business advisory.
 
This is what sets us apart from others in the industry.  This is the Cazaja way."
https://www.jobstreet.com.sg/en/job/accounts-executive-payment-6843715?fr=J&src=16&srcr=16&searchRequestToken=ca86ad32-7acf-4ef5-9760-d6ae14031966&sectionRank=47,Accounts Executive - Payment,"PERSOL Singapore (a division of Capita Pte Ltd)

    							     
																						
(Recruitment Firm)","Our client, a well-known Japanese company is looking for a suitable candidate for the position of Accounts Executive - Payment.
 
Responsibilities:
Responsible for GL and payments related matters
Verification of payment data with assigned countries
Review and approve Supplier master data with assigned countries
Assist on month end closing processes
Liaise with internal or external auditors and follow up on auditors’ queries
Requirements:
Minimum Diploma in Accountancy or equivalent
Good experience in Shared Service environment or Payment Hub environment
Excellent communication skill and good problem-solving mindset
 
 
For interested parties, kindly send in your resume in MS Word format to eejing.loh@persolsg.com
We regret that only shortlisted candidates will be notified.
 
Capita Pte Ltd | EA License No.: 08C2893 | RCB No. 200701282M
Loh Ee Jing | Registration No.: R1877262","PERSOL, formerly known as Intelligence, is one of the largest and fastest growing HR service providers in the Asia Pacific regions. With presence in 10 key APAC markets, PERSOL leverages on its strong database of Japanese and Japanese-speaking candidates to provide tailored workforce solutions primarily to Japanese companies in this region. The solutions include permanent and contract staffing, recruitment process outsourcing and payroll outsourcing.
 
The PERSOL brand in Asia Pacific operates under the PERSOLKELLY company, a joint venture between PERSOL Holdings and Kelly Services, forming one of the largest recruitment companies in APAC with its headquarters in Singapore.
 
By submitting your curricular vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy.  Please visit www.persolsg.com for a copy of our Privacy Policy."
https://www.jobstreet.com.sg/en/job/3-months-accounts-assistant-up2200-5-days-redhil-urgent-6843699?fr=J&src=16&srcr=16&searchRequestToken=0a99930a-3f7a-4535-ba29-c8ee10502eb8&sectionRank=63,3 Months Accounts Assistant (Up$2200 / 5 Days / Redhil / Urgent),"MCi CAREER SERVICES PTE LTD

    							     
																						
(Recruitment Firm)","Benefits Summary:
Salary: $2200 + Benefits 
Working Location: Redhill
Good working environment
Responsibilities:
Perform accounts payable duties such as coding, staff reimbursements and data entries
Prepare and process payments for suppliers and customer refunds
Assist in other accounting duties
Requirements:
Applicants who possess relevant qualifications, employment background and suitable skill sets are most welcome to apply
Applicants who do not possess the above will be considered on individual merits
Applicants not shortlisted for this role may be matched with other suitable opportunities
Qualified or interested candidates, please submit your updated resume in MS format by using the 
Apply Now
 Button.
Alternatively, you may also email your resume to us at 
mci2119@mci.com.sg.
 
Our dedicated and approachable MCI consultants will get back to you soon for a confidential discussion.
 
Please include the following information in your resume:
Education background
Work experiences in point forms
Reason(s) for leaving
Current and Expected salary
Date of availability / Notice Period
**We regret to inform that only shortlisted candidates would be notified. **
 
To find out about other career opportunities in MCI Career Services Pte Ltd, do visit www.mci.com.sg for  complete jobs listing.  We wish you all the best in your career search.
 
Toh Yen Kiat (Edward)
Registration Number: R1658602
EA License Number: 06C2859","MCI Group of Companies provides a one stop total-solution to a comprehensive range of Human Resource needs. Over the years, our consultants have developed the expertise to place our candidates across a broad range of industries and professions.
 
At MCI, we seek first to understand, then to be understood. We take pride and dedication in personalizing our services through highly collaborative approaches to cater to your needs. We believe in building relationships with our candidates and clients, keeping their interest at heart. It is imperative that we assist our candidates to make the right career moves to develop their potential, and provide our clients with the right talents who will bring their business to the next level.
 
One of our professional pledge is being prompt and accurate in delivering our services and we are constantly prepared to address the needs of our clients and candidates. What we do in the present decides our future.
 
At MCI, Your Future is Our Future.
 
Visit our website: 
www.mci.com.sg.
 
Like us on 
Facebook"
https://www.jobstreet.com.sg/en/job/admin-assistant-cum-accounts-5d-partial-mnc-serangoon-2000-2500-6840478?fr=J&src=16&srcr=16&searchRequestToken=c07ca417-e451-4be0-eda9-bfc02282e92f&sectionRank=180,Admin Assistant cum Accounts ( 5D/ Partial / MNC / Serangoon / $2000 - $2500),"Ideals Recruitment Pte Ltd

    							     
																						
(Recruitment Firm)","☑ $2000 - $2500 Basic + AWS + Variable Bonus
☑ Japan MNC Company in direct sales organisation 
☑ Working Location : Serangoon
☑ Career progression with good remuneration package
 
Responsibilities:
Handle Partial accounts （AR and AP） and
 administration role
Follow up on payment schedule from customers
Email customers
Calling of customers to check on payment
Sending monthly statements
Assist in car rental matters
Vetting through Legal documents
Requirements:
Candidate must possess at least diploma in accounting or relevant field 
Bilingual in mandarin to liaise with mandarin speaking customers
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume:
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background","Ideals Recruitment
 is a new and dynamic recruitment company that brings effective services to individuals and organisations with a sense of urgency and commitment.
With 
Ideals Recruitment 
you can expect high professionalism from our experienced Recruitment Consultants who are able provide professional advice on the current job market to both passive and active job seekers. With our expertise,we will be able to bring to you the best role that best fits your experience and career aspiration.
Our Services:
- Permanent Staffing
- Contract Staffing
- Foreign Worker"
https://www.jobstreet.com.sg/en/job/big-four-accounts-assistant-l-raffles-place-l-1400-6843639?fr=J&src=16&srcr=16&searchRequestToken=c07ca417-e451-4be0-eda9-bfc02282e92f&sectionRank=179,[BIG FOUR] Accounts Assistant l Raffles Place l $1400,"Capita Pte Ltd – Temp & Contract    							     
																						
(Recruitment Firm)","BIG FOUR AUDIT FIRM l  RAFFLES PLACE
 
Duration: Imm - (4 months)
Working hours: Mon to Fri (8:30am - 5:30pm)
 
RESPONSIBILITIES:
 
Documenting application business requirements and training documents
Training a software robot to identify and recognise various business financial documents
Perform testing on various tax technology applications
Assist with other adhoc duties assigned
 
REQUIREMENTS:
 
Diploma holder and above
Knowledge in Accounting/Tax will be an advantage.
Proficient in Microsoft Office
Ability to handle multiple responsibilities in a fast paced environment.
No technical knowledge required
Job Code: VANT
Email Address: os8@capitagrp.com
 
As this position is urgent, kindly email detailed CV or contact us @ 6709 3439 and attention to VANT with current and
expected salary, notice period and reason for leaving each job.
* We regret to inform that only shortlisted candidates will be notified. *
 
EA License No.: 08C2893
EA Reg. ID: R1875897 (Vanessa Teh Ann Chi)
 
By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please access our website at www.capitagrp.com for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email at dataprotection@kellyservices.com.sg to let us know. All resumes and personal particulars sent to the aforementioned email address will NOT be attended to as the address is not for job application purposes.","Founded in 2007 in Singapore, Capita Pte Ltd is a premium recruitment expert and staffing provider for international companies in Singapore and across Asia.
 
Encompassing local and international placements, contract and temporary staffing, outplacement as well as payroll services across all industry sectors, Capita’s highly personalised service ensures that its clients find the right talent to meet their human resource needs.
 
Capita’s service offering is split into corporate and specialised divisions. While the corporate division comprises the business support and outsourcing practices that focus on permanent, contract and temporary positions, the specialised division has a focus on the engineering, banking and finance as well as technology industries. With more companies requiring candidates for specialist functions as well as talent with generalist capabilities in an increasingly competitive business environment, these divisions ensure that clients work with industry-focused consultants with specific expertise to match their talent management needs.
In 2012, Capita expanded its footprint in Asia, opening an office in Kuala Lumpur, Malaysia to better serve regional clients.
 
Capita  has been recognised as one of the preferred HR Vendors of the Year for six consecutive years since 2010. In addition, we have also been honoured with the Enterprise 50 award in 2012 as well as the Recruitment Agency of the Year Silver Award (Asia Recruitment Awards, 2015).
 
More information about Capita Pte Ltd is available at www.capitagrp.com and www.facebook.com/capitagrp.
 
<<<By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy.
 
Please visit www.capitagrp.com for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email at ""dataprotection@persolkelly.com"" to let us know. (NOTE: any resumes or job applications sent to this data protection mailbox will NOT be attended to as it is solely for the purposes of personal data protection related feedback.)"
https://www.jobstreet.com.sg/en/job/accounts-executive-grants-l-pioneer-l-6-months-l-up-to-2500-6843651?fr=J&src=16&srcr=16&searchRequestToken=e22d8379-ffc9-4a11-dab9-0e0236858a70&sectionRank=158,Accounts Executive (Grants) l Pioneer l 6 months l Up to $2500,"Capita Pte Ltd – Temp & Contract    							     
																						
(Recruitment Firm)","Accounts Executive (GRANTS)
 
Duration: 6 months
Location: Pioneer
 
Responsibilities:
Prepare and submit the grant claim forms to funding agencies 
Liaise with Principal Investigator and Research Support staff to address queries from funding agencies
Participate in process enhancement projects involving grant reporting by assisting in documenting process flows and other deliverables
To create SAP research project accounts and load project budgets. Ensure research project accounts are created accurately and timely
Process research budget transactions such as budget virements to ensure up-to-date information on the research project accounts are available to School/PI. 
Closing of Project accounts in SAP - To close project accounts promptly upon receiving requests from Schools which including preparation of final statements and refunding project fund balances to funding agencies. 
General Administrative and Handling Enquiries
Requirements:
Diploma or equivalent in accountancy
3 - 5 years’ experience in handling research project accounting and submission of grants claims will be an advantage
Ability to liaise with funding agencies
Good knowledge of Microsoft Office Applications such as Excel
Knowledge of SAP Financial System would be advantageous
Job Code: VANT
Email Address: os8@capitagrp.com
 
As this position is urgent, kindly email detailed CV or contact us @ 6709 3439 and attention to VANT with current and expected salary, notice period and reason for leaving each job.
* We regret to inform that only shortlisted candidates will be notified. *
 
EA License No.: 08C2893
EA Reg. ID: R1875897 (Vanessa Teh Ann Chi)
 
By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please access our website at www.capitagrp.com for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email at dataprotection@kellyservices.com.sg to let us know. All resumes and personal particulars sent to the aforementioned email address will NOT be attended to as the address is not for job application purposes.","Founded in 2007 in Singapore, Capita Pte Ltd is a premium recruitment expert and staffing provider for international companies in Singapore and across Asia.
 
Encompassing local and international placements, contract and temporary staffing, outplacement as well as payroll services across all industry sectors, Capita’s highly personalised service ensures that its clients find the right talent to meet their human resource needs.
 
Capita’s service offering is split into corporate and specialised divisions. While the corporate division comprises the business support and outsourcing practices that focus on permanent, contract and temporary positions, the specialised division has a focus on the engineering, banking and finance as well as technology industries. With more companies requiring candidates for specialist functions as well as talent with generalist capabilities in an increasingly competitive business environment, these divisions ensure that clients work with industry-focused consultants with specific expertise to match their talent management needs.
In 2012, Capita expanded its footprint in Asia, opening an office in Kuala Lumpur, Malaysia to better serve regional clients.
 
Capita  has been recognised as one of the preferred HR Vendors of the Year for six consecutive years since 2010. In addition, we have also been honoured with the Enterprise 50 award in 2012 as well as the Recruitment Agency of the Year Silver Award (Asia Recruitment Awards, 2015).
 
More information about Capita Pte Ltd is available at www.capitagrp.com and www.facebook.com/capitagrp.
 
<<<By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy.
 
Please visit www.capitagrp.com for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email at ""dataprotection@persolkelly.com"" to let us know. (NOTE: any resumes or job applications sent to this data protection mailbox will NOT be attended to as it is solely for the purposes of personal data protection related feedback.)"
https://www.jobstreet.com.sg/en/job/accounts-executive-fullset-myob-west-2000-2500-6840497?fr=J&src=16&srcr=16&searchRequestToken=c07ca417-e451-4be0-eda9-bfc02282e92f&sectionRank=178,Accounts Executive ( Fullset / MYOB / West / $2000 - $2500),"Ideals Recruitment Pte Ltd

    							     
																						
(Recruitment Firm)","• Well Established Company in Marine industry 
• $2000 - $2500 Basic + AWS + Variable Bonus
• Excellent Welfare and Benefits + Career progression
• Working location: West Area (Company Transport Provided)
• Working hours:
9:30am
 – 
6pm
• Working Days: 5.5 days
 
Job Scope:
Responsible for handling of 
full
 
set  and
/ or 
partial
 of accounts.
Monitor and prepare of Accounts Receivable aging report.
Provide adjustment entries for accounting error.
Maintain company’s fixed assets registered (Depreciation, additional items during the year, disposal of fixed assets)
Monitoring company bank daily cash flow.
Responsible for handling of Balance Sheet and P&L accounts report.
Prepare company Tax computation 
submit
 to IRAS.
Handle management accounts and assist 
manager
 in preparation of financial statements; prepare tax computation for subsidiaries in Singapore and group consolidation.
Prepare monthly bank reconciliation and bank record.
Liaise with external auditor.
Update audit schedules such as accrual, deposit, prepayment, accrued revenue, provision for doubtful debts
Other ad-hoc duties as assigned
Requirement:
Diploma and/or Degree/ACCA/LCCI in Accounting or other relevant field
1- 2 years of relevant working experience
Knowledge in MYOB Accounting system.
Good interpersonal and communication skills
Candidates are encouraged to apply this position via Apply Now button with the following information in the resume
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background","Ideals Recruitment
 is a new and dynamic recruitment company that brings effective services to individuals and organisations with a sense of urgency and commitment.
With 
Ideals Recruitment 
you can expect high professionalism from our experienced Recruitment Consultants who are able provide professional advice on the current job market to both passive and active job seekers. With our expertise,we will be able to bring to you the best role that best fits your experience and career aspiration.
Our Services:
- Permanent Staffing
- Contract Staffing
- Foreign Worker"
https://www.jobstreet.com.sg/en/job/accounts-executive-l-kaki-bukit-l-1-yr-contract-l-up-to-2500-6843636?fr=J&src=16&srcr=16&searchRequestToken=2b1b6d19-31f7-4520-8901-f0c1204717e7&sectionRank=186,Accounts Executive l Kaki Bukit l 1 Yr Contract l Up to $2500,"Capita Pte Ltd – Temp & Contract    							     
																						
(Recruitment Firm)","Accounts Executive
 
Duration: 1 Year Contract
Location: Kaki Bukit
Working Hours: Mon to Fri (9am to 6pm)
 
Job Responsibilties:
Prepare JV, PV, issue cheque, update cash book, process staff claim
Matching of sales invoices inclusive scanning and pass to admin for mailing
Ensure customer such as Peter Global’s document all is in order before mailing and scan to inside sale
Liaise with vendor on dispute invoices and ensure invoices receive on time for month end closing
Receive invoice such as Fedex and DHL make sure proper AWB is attached
Daily update of Rockwell invoice status such as warranty, EOC issue
Ensure store personnel had done the GRN  in system
Monthly reconciliation of vendor SGA.
Monthly reconcile of AP Aging to GL
Monthly accrued of purchases with GRN without invoices
Requirements:
Minimum possess Diploma in Accountancy
Preferably with 2 years of relevant working experience
Good with numbers
Meticulous and organized oriented
Job Code: VANT
Email Address: os8@capitagrp.com
 
As this position is urgent, kindly email detailed CV or contact us @ 6709 3439 and attention to VANT with current and expected salary, notice period and reason for leaving each job.
* We regret to inform that only shortlisted candidates will be notified. *
 
EA License No.: 08C2893
EA Reg. ID: R1875897 (Vanessa Teh Ann Chi)
 
By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please access our website at www.capitagrp.com for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email at dataprotection@kellyservices.com.sg to let us know. All resumes and personal particulars sent to the aforementioned email address will NOT be attended to as the address is not for job application purposes.","Founded in 2007 in Singapore, Capita Pte Ltd is a premium recruitment expert and staffing provider for international companies in Singapore and across Asia.
 
Encompassing local and international placements, contract and temporary staffing, outplacement as well as payroll services across all industry sectors, Capita’s highly personalised service ensures that its clients find the right talent to meet their human resource needs.
 
Capita’s service offering is split into corporate and specialised divisions. While the corporate division comprises the business support and outsourcing practices that focus on permanent, contract and temporary positions, the specialised division has a focus on the engineering, banking and finance as well as technology industries. With more companies requiring candidates for specialist functions as well as talent with generalist capabilities in an increasingly competitive business environment, these divisions ensure that clients work with industry-focused consultants with specific expertise to match their talent management needs.
In 2012, Capita expanded its footprint in Asia, opening an office in Kuala Lumpur, Malaysia to better serve regional clients.
 
Capita  has been recognised as one of the preferred HR Vendors of the Year for six consecutive years since 2010. In addition, we have also been honoured with the Enterprise 50 award in 2012 as well as the Recruitment Agency of the Year Silver Award (Asia Recruitment Awards, 2015).
 
More information about Capita Pte Ltd is available at www.capitagrp.com and www.facebook.com/capitagrp.
 
<<<By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy.
 
Please visit www.capitagrp.com for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email at ""dataprotection@persolkelly.com"" to let us know. (NOTE: any resumes or job applications sent to this data protection mailbox will NOT be attended to as it is solely for the purposes of personal data protection related feedback.)"
https://www.jobstreet.com.sg/en/job/senior-accounts-executive-4000-full-set-erp-central-6843659?fr=J&src=16&srcr=16&searchRequestToken=e22d8379-ffc9-4a11-dab9-0e0236858a70&sectionRank=145,Senior Accounts Executive $4000 | Full Set | ERP | Central,"FSK Advisory Pte Ltd - General Placement Division    							     
																						
(Recruitment Firm)","Freight Forwarding & Logistics Provider
5 days work week
Location: Central
Salary: $3500 - $4000
 
Assist the Financial Control on full set of accounts
Preparation and Review of the monthly gross profit reports.
Preparation of monthly and yearly financial reports with accuracy.
Preparation and review of the consolidation
Credit control including responsible for account receivables collection and daily cash-flow monitoring.
Review and approval of payments and/or remittances.
Liaise with local government ministries, bankers, auditors, solicitors, company secretary and suppliers for all financial and administrative related matters.
Requirements
Diploma/ Degree in Accountancy
3 years of related working experience
Must work well across multiple levels in a fast-pace environment
Meticulous and independent
Proficient in MS Office, ERP
 
How to Apply:
By submitting any application or résumé to us, you will be deemed to have agreed and consented to us disclosing your personal information to prospective employers for their consideration.
We regret only short-listed candidate will be notified.
Reg No: R1100465
EA License No: 15C7414 (FSK Advisory Pte Ltd)","FSK Advisory is a professional and dynamic executive search firm comprising of a dedicated group of industry professionals with over 20 years collective experience in specific disciplines.
 
Our professionals take a highly personalised approach to develop deep understanding of our candidates’ career aspirations. Through collaborative engagement, we ensure our candidates achieve the best job fit and maximising their fullest potential.
 
Our consultants seek to value-add our candidates by offering professional HR advice in areas of improving CV writing, highlighting of relevant skillsets, making a standout profile to better improve chances of selection by employers.
 
Upon being shortlisted, we prepare and equipped our candidates with the essential interviewing skills.
We help our candidates to win by providing a bespoke recruitment experience."
https://www.jobstreet.com.sg/en/job/accounts-assistant-5d-west-no-experience-required-mnc-1600-2000-6840945?fr=J&src=16&srcr=16&searchRequestToken=2b1b6d19-31f7-4520-8901-f0c1204717e7&sectionRank=184,Accounts Assistant (5D / West / No Experience Required / MNC / $1600 - $2000),"Ideals Recruitment Pte Ltd

    							     
																						
(Recruitment Firm)","• Japan MNC Company in manufacturing industry 
• $1600- $2000 Basic + AWS + Variable Bonus
• Excellent Welfare and Benefits + Career progression
• Working location: West Area (Company Transport Provided)
• Working hours: Office hour
• Working Days: 5 days
• Fresh candidates welcome to apply as training will be provided
 
Job Scope:
Responsible for handling of partial of accounts.
Handle Giro payment 
Check employee claims for business trip and expenses.
Debtor/Creditors confirmation and reconciliation of statement of account
Internal group companies netting payment and bank reconciliation & monthly cash report.
Handling of keying of journal entries and checking interface data.
Requirement:
Diploma and/or Degree/ACCA/LCCI in Accounting
 or another relevant field
Fresh candidates welcome to apply as training will be provided
Good interpersonal and communication skills
 
Candidates are encouraged to apply this position via 
Apply Now
 button with the following information in the resume
Work experiences and job responsibilities
Current and Expected salary
Reason for leaving
Date of availability
Education background","Ideals Recruitment
 is a new and dynamic recruitment company that brings effective services to individuals and organisations with a sense of urgency and commitment.
With 
Ideals Recruitment 
you can expect high professionalism from our experienced Recruitment Consultants who are able provide professional advice on the current job market to both passive and active job seekers. With our expertise,we will be able to bring to you the best role that best fits your experience and career aspiration.
Our Services:
- Permanent Staffing
- Contract Staffing
- Foreign Worker"
